time,gFx,gFy,gFz,TgF
0.005000,-0.1216,0.0302,1.0256,1.033
0.006000,-0.1235,0.0273,1.0099,1.018
0.007000,-0.1255,0.0195,0.9943,1.002
0.007000,-0.1255,0.0175,0.9787,0.987
0.007000,-0.1245,0.0156,0.9699,0.978
0.008000,-0.1206,0.0136,0.9679,0.976
0.008000,-0.1235,0.0156,0.9640,0.972
0.015000,-0.1196,0.0136,0.9679,0.975
0.016000,-0.1157,0.0146,0.9689,0.976
0.016000,-0.1108,0.0097,0.9679,0.974
0.035000,-0.1069,0.0088,0.9689,0.975
0.036000,-0.1050,0.0107,0.9826,0.988
0.036000,-0.1001,0.0078,0.9836,0.989
0.037000,-0.1011,0.0078,0.9972,1.002
0.037000,-0.0913,0.0136,1.0129,1.017
0.037000,-0.0815,0.0166,1.0197,1.023
0.038000,-0.0728,0.0195,1.0275,1.030
0.038000,-0.0669,0.0215,1.0285,1.031
0.038000,-0.0679,0.0273,1.0314,1.034
0.039000,-0.0679,0.0312,1.0344,1.037
0.044000,-0.0688,0.0342,1.0363,1.039
0.044000,-0.0659,0.0390,1.0324,1.035
0.045000,-0.0728,0.0439,1.0275,1.031
0.049000,-0.0728,0.0449,1.0226,1.026
0.053000,-0.0728,0.0449,1.0158,1.019
0.055000,-0.0757,0.0420,1.0090,1.013
0.057000,-0.0806,0.0429,1.0002,1.004
0.059000,-0.0815,0.0390,0.9914,0.995
0.062000,-0.0796,0.0381,0.9875,0.991
0.065000,-0.0864,0.0400,0.9797,0.984
0.068000,-0.0835,0.0400,0.9719,0.976
0.071000,-0.0835,0.0361,0.9709,0.975
0.072000,-0.0786,0.0410,0.9699,0.974
0.074000,-0.0767,0.0390,0.9670,0.971
0.077000,-0.0698,0.0439,0.9670,0.970
0.079000,-0.0630,0.0459,0.9650,0.968
0.082000,-0.0591,0.0478,0.9640,0.967
0.086000,-0.0571,0.0488,0.9650,0.968
0.087000,-0.0532,0.0468,0.9670,0.970
0.090000,-0.0503,0.0468,0.9719,0.974
0.092000,-0.0532,0.0508,0.9709,0.974
0.095000,-0.0503,0.0459,0.9767,0.979
0.099000,-0.0503,0.0459,0.9767,0.979
0.100000,-0.0513,0.0439,0.9748,0.977
0.103000,-0.0552,0.0459,0.9738,0.976
0.104000,-0.0571,0.0439,0.9748,0.977
0.106000,-0.0601,0.0439,0.9748,0.978
0.109000,-0.0630,0.0429,0.9748,0.978
0.112000,-0.0640,0.0420,0.9777,0.981
0.115000,-0.0708,0.0410,0.9806,0.984
0.118000,-0.0747,0.0429,0.9845,0.988
0.121000,-0.0737,0.0420,0.9885,0.992
0.122000,-0.0796,0.0410,0.9933,0.997
0.124000,-0.0854,0.0420,1.0002,1.005
0.127000,-0.0864,0.0381,1.0051,1.009
0.129000,-0.0894,0.0400,1.0090,1.014
0.131000,-0.0942,0.0361,1.0109,1.016
0.136000,-0.0923,0.0361,1.0129,1.018
0.136000,-0.0933,0.0361,1.0080,1.013
0.139000,-0.0923,0.0371,1.0070,1.012
0.141000,-0.0933,0.0351,1.0051,1.010
0.144000,-0.0962,0.0342,1.0060,1.011
0.147000,-0.0933,0.0361,0.9992,1.004
0.150000,-0.0913,0.0351,0.9992,1.004
0.161000,-0.0903,0.0351,0.9963,1.001
0.161000,-0.0874,0.0332,0.9914,0.996
0.162000,-0.0825,0.0351,0.9875,0.992
0.162000,-0.0786,0.0351,0.9924,0.996
0.162000,-0.0708,0.0371,0.9904,0.994
0.164000,-0.0669,0.0400,0.9963,0.999
0.167000,-0.0649,0.0400,0.9963,0.999
0.170000,-0.0630,0.0439,0.9982,1.001
0.171000,-0.0630,0.0420,1.0012,1.004
0.173000,-0.0630,0.0420,0.9982,1.001
0.175000,-0.0659,0.0400,0.9972,1.000
0.180000,-0.0620,0.0459,0.9992,1.002
0.182000,-0.0620,0.0420,0.9982,1.001
0.187000,-0.0630,0.0439,0.9982,1.001
0.188000,-0.0679,0.0400,0.9982,1.001
0.189000,-0.0698,0.0410,0.9963,1.000
0.192000,-0.0737,0.0381,1.0002,1.004
0.194000,-0.0747,0.0420,1.0041,1.008
0.197000,-0.0776,0.0429,1.0109,1.015
0.199000,-0.0815,0.0420,1.0148,1.019
0.203000,-0.0835,0.0439,1.0187,1.023
0.204000,-0.0776,0.0439,1.0207,1.025
0.208000,-0.0747,0.0449,1.0207,1.024
0.209000,-0.0767,0.0459,1.0178,1.022
0.211000,-0.0767,0.0468,1.0187,1.023
0.214000,-0.0815,0.0410,1.0207,1.025
0.218000,-0.0864,0.0420,1.0187,1.023
0.220000,-0.0903,0.0400,1.0187,1.024
0.221000,-0.0942,0.0400,1.0187,1.024
0.224000,-0.0991,0.0371,1.0197,1.025
0.227000,-0.0952,0.0361,1.0207,1.026
0.229000,-0.0942,0.0381,1.0217,1.027
0.232000,-0.0913,0.0371,1.0265,1.031
0.234000,-0.0923,0.0361,1.0275,1.032
0.238000,-0.0913,0.0390,1.0305,1.035
0.239000,-0.0854,0.0371,1.0314,1.036
0.242000,-0.0894,0.0351,1.0334,1.038
0.244000,-0.0913,0.0351,1.0334,1.038
0.247000,-0.0923,0.0332,1.0314,1.036
0.248000,-0.0933,0.0351,1.0305,1.035
0.253000,-0.0923,0.0332,1.0353,1.040
0.254000,-0.0884,0.0342,1.0373,1.042
0.257000,-0.0864,0.0371,1.0392,1.043
0.259000,-0.0815,0.0390,1.0373,1.041
0.262000,-0.0796,0.0351,1.0363,1.040
0.264000,-0.0747,0.0381,1.0383,1.042
0.268000,-0.0757,0.0381,1.0392,1.043
0.270000,-0.0718,0.0390,1.0324,1.036
0.272000,-0.0747,0.0420,1.0353,1.039
0.275000,-0.0767,0.0410,1.0275,1.031
0.277000,-0.0747,0.0390,1.0226,1.026
0.279000,-0.0776,0.0381,1.0187,1.022
0.282000,-0.0806,0.0400,1.0197,1.024
0.285000,-0.0796,0.0410,1.0099,1.014
0.295000,-0.0796,0.0371,1.0070,1.011
0.296000,-0.0796,0.0361,1.0051,1.009
0.296000,-0.0835,0.0381,1.0012,1.005
0.297000,-0.0786,0.0371,1.0012,1.005
0.297000,-0.0776,0.0381,0.9982,1.002
0.299000,-0.0757,0.0371,1.0051,1.009
0.303000,-0.0776,0.0371,1.0012,1.005
0.304000,-0.0796,0.0361,0.9943,0.998
0.307000,-0.0806,0.0361,0.9943,0.998
0.309000,-0.0815,0.0361,0.9885,0.992
0.311000,-0.0845,0.0342,0.9885,0.993
0.314000,-0.0815,0.0371,0.9875,0.992
0.317000,-0.0786,0.0361,0.9845,0.988
