time,gFx,gFy,gFz,TgF
0.004000,-0.0376,0.2002,1.0305,1.050
0.004000,-0.0356,0.2002,1.0314,1.051
0.005000,-0.0405,0.1973,1.0305,1.050
0.005000,-0.0395,0.1992,1.0305,1.050
0.005000,-0.0395,0.2012,1.0334,1.054
0.006000,-0.0405,0.1963,1.0295,1.049
0.006000,-0.0366,0.1992,1.0236,1.043
0.006000,-0.0337,0.1992,1.0236,1.043
0.006000,-0.0327,0.2002,1.0197,1.040
0.010000,-0.0278,0.1992,1.0168,1.036
0.011000,-0.0278,0.2031,1.0178,1.038
0.012000,-0.0268,0.2070,1.0168,1.038
0.024000,-0.0268,0.2060,1.0178,1.039
0.024000,-0.0259,0.2070,1.0099,1.031
0.024000,-0.0278,0.2051,1.0070,1.028
0.025000,-0.0259,0.2090,1.0021,1.024
0.025000,-0.0268,0.2070,0.9953,1.017
0.028000,-0.0249,0.2041,0.9904,1.012
0.033000,-0.0239,0.2021,0.9904,1.011
0.034000,-0.0278,0.2060,0.9885,1.010
0.036000,-0.0268,0.2031,0.9797,1.001
0.038000,-0.0278,0.2090,0.9816,1.004
0.041000,-0.0298,0.2090,0.9836,1.006
0.043000,-0.0308,0.2109,0.9836,1.006
0.045000,-0.0298,0.2070,0.9826,1.005
0.049000,-0.0337,0.2119,0.9875,1.011
0.050000,-0.0376,0.2109,0.9894,1.012
0.053000,-0.0376,0.2129,0.9865,1.010
0.055000,-0.0435,0.2129,0.9894,1.013
0.058000,-0.0415,0.2119,0.9836,1.007
0.060000,-0.0454,0.2109,0.9865,1.010
0.063000,-0.0415,0.2119,0.9758,0.999
0.065000,-0.0425,0.2109,0.9767,1.000
0.067000,-0.0444,0.2148,0.9699,0.994
0.070000,-0.0425,0.2148,0.9709,0.995
0.072000,-0.0435,0.2168,0.9660,0.991
0.075000,-0.0454,0.2178,0.9699,0.995
0.077000,-0.0425,0.2168,0.9660,0.991
0.081000,-0.0405,0.2207,0.9621,0.988
0.082000,-0.0405,0.2226,0.9621,0.988
0.085000,-0.0415,0.2246,0.9562,0.983
0.087000,-0.0395,0.2246,0.9562,0.983
0.090000,-0.0386,0.2256,0.9562,0.983
0.093000,-0.0405,0.2236,0.9582,0.985
0.095000,-0.0415,0.2246,0.9552,0.982
0.098000,-0.0376,0.2275,0.9572,0.985
0.099000,-0.0386,0.2246,0.9572,0.984
0.103000,-0.0376,0.2246,0.9572,0.984
0.105000,-0.0337,0.2246,0.9582,0.985
0.109000,-0.0356,0.2285,0.9631,0.990
0.110000,-0.0366,0.2256,0.9660,0.993
0.115000,-0.0337,0.2256,0.9640,0.991
0.116000,-0.0317,0.2226,0.9748,1.000
0.118000,-0.0347,0.2197,0.9699,0.995
0.121000,-0.0327,0.2178,0.9728,0.997
0.123000,-0.0376,0.2139,0.9719,0.996
0.125000,-0.0366,0.2129,0.9816,1.005
0.128000,-0.0366,0.2090,0.9787,1.001
0.132000,-0.0376,0.2090,0.9836,1.006
0.133000,-0.0395,0.2100,0.9885,1.011
0.136000,-0.0366,0.2002,0.9885,1.009
0.138000,-0.0395,0.2080,0.9875,1.010
0.140000,-0.0327,0.2051,0.9914,1.013
0.143000,-0.0337,0.2051,0.9914,1.013
0.145000,-0.0308,0.2100,0.9914,1.014
0.149000,-0.0278,0.2060,0.9875,1.009
0.150000,-0.0239,0.2051,0.9914,1.013
0.153000,-0.0259,0.2051,0.9914,1.013
0.155000,-0.0259,0.2012,0.9885,1.009
0.158000,-0.0268,0.2060,0.9865,1.008
0.160000,-0.0298,0.2012,0.9904,1.011
0.162000,-0.0278,0.2051,0.9855,1.007
0.165000,-0.0298,0.2031,0.9836,1.005
0.168000,-0.0337,0.2060,0.9855,1.007
0.170000,-0.0386,0.2041,0.9738,0.996
0.173000,-0.0386,0.2109,0.9758,0.999
0.175000,-0.0405,0.2090,0.9758,0.999
0.178000,-0.0405,0.2119,0.9738,0.997
0.183000,-0.0395,0.2139,0.9748,0.999
0.184000,-0.0415,0.2187,0.9806,1.006
0.184000,-0.0425,0.2187,0.9767,1.002
0.187000,-0.0444,0.2168,0.9719,0.997
0.190000,-0.0454,0.2178,0.9758,1.001
0.193000,-0.0454,0.2158,0.9699,0.995
0.195000,-0.0435,0.2168,0.9660,0.991
0.198000,-0.0474,0.2148,0.9660,0.991
0.200000,-0.0483,0.2139,0.9650,0.990
0.203000,-0.0513,0.2100,0.9679,0.992
0.204000,-0.0493,0.2070,0.9601,0.983
0.207000,-0.0522,0.2060,0.9670,0.990
0.210000,-0.0493,0.2041,0.9679,0.990
0.213000,-0.0513,0.2060,0.9689,0.992
0.216000,-0.0483,0.2041,0.9699,0.992
0.217000,-0.0483,0.2070,0.9787,1.002
0.220000,-0.0483,0.2060,0.9797,1.002
0.223000,-0.0464,0.2139,0.9855,1.010
0.225000,-0.0415,0.2139,0.9875,1.011
0.228000,-0.0425,0.2119,0.9904,1.014
0.232000,-0.0376,0.2168,0.9953,1.019
0.233000,-0.0366,0.2148,0.9982,1.022
0.235000,-0.0366,0.2139,1.0002,1.023
0.238000,-0.0327,0.2109,0.9992,1.022
0.240000,-0.0356,0.2100,1.0041,1.026
0.243000,-0.0327,0.2119,1.0012,1.024
0.245000,-0.0327,0.2090,1.0031,1.025
0.249000,-0.0347,0.2070,1.0090,1.031
0.250000,-0.0347,0.2041,1.0090,1.030
0.253000,-0.0337,0.2031,1.0109,1.032
0.255000,-0.0356,0.2002,1.0080,1.028
0.258000,-0.0366,0.2041,1.0129,1.034
0.260000,-0.0356,0.2021,1.0158,1.036
0.263000,-0.0386,0.2070,1.0119,1.034
0.266000,-0.0386,0.2051,1.0119,1.033
0.267000,-0.0435,0.2060,1.0070,1.029
0.270000,-0.0425,0.2070,1.0070,1.029
0.273000,-0.0435,0.2090,1.0002,1.023
0.275000,-0.0425,0.2139,0.9982,1.022
0.278000,-0.0425,0.2129,0.9972,1.021
0.282000,-0.0405,0.2109,0.9914,1.014
0.283000,-0.0395,0.2148,0.9855,1.009
0.285000,-0.0405,0.2129,0.9806,1.004
0.287000,-0.0405,0.2109,0.9787,1.002
0.290000,-0.0405,0.2080,0.9728,0.996
0.293000,-0.0395,0.2100,0.9640,0.987
0.295000,-0.0386,0.2080,0.9601,0.983
0.307000,-0.0405,0.2100,0.9650,0.988
0.307000,-0.0386,0.2090,0.9592,0.982
0.308000,-0.0386,0.2100,0.9562,0.980
0.308000,-0.0386,0.2139,0.9582,0.983
0.309000,-0.0415,0.2129,0.9582,0.982
0.311000,-0.0405,0.2129,0.9572,0.981
0.313000,-0.0425,0.2187,0.9621,0.988
0.316000,-0.0415,0.2168,0.9689,0.994
0.317000,-0.0435,0.2197,0.9709,0.996
0.320000,-0.0444,0.2148,0.9748,0.999
0.323000,-0.0405,0.2129,0.9845,1.008
0.325000,-0.0405,0.2139,0.9855,1.009
0.327000,-0.0347,0.2148,0.9816,1.005
0.332000,-0.0298,0.2100,0.9894,1.012
0.333000,-0.0249,0.2090,0.9904,1.013
0.335000,-0.0268,0.2090,0.9904,1.013
0.338000,-0.0268,0.2090,0.9933,1.015
0.340000,-0.0278,0.2031,0.9943,1.015
