time,gFx,gFy,gFz,TgF
0.006000,0.0659,0.0166,0.9943,0.997
0.007000,0.0728,0.0215,1.0021,1.005
0.007000,0.0747,0.0195,1.0060,1.009
0.008000,0.0767,0.0244,1.0168,1.020
0.008000,0.0747,0.0273,1.0256,1.029
0.009000,0.0737,0.0293,1.0265,1.030
0.009000,0.0747,0.0371,1.0305,1.034
0.015000,0.0698,0.0400,1.0197,1.023
0.015000,0.0669,0.0420,1.0148,1.018
0.015000,0.0630,0.0410,1.0041,1.007
0.018000,0.0571,0.0410,0.9943,0.997
0.019000,0.0464,0.0400,0.9865,0.988
0.032000,0.0337,0.0351,0.9865,0.988
0.033000,0.0210,0.0312,0.9816,0.982
0.033000,0.0191,0.0342,0.9797,0.980
0.033000,0.0103,0.0312,0.9816,0.982
0.034000,0.0132,0.0351,0.9836,0.984
0.035000,0.0161,0.0312,0.9845,0.985
0.038000,0.0259,0.0312,0.9836,0.984
0.040000,0.0357,0.0312,0.9826,0.984
0.043000,0.0386,0.0283,0.9875,0.989
0.045000,0.0503,0.0302,0.9924,0.994
0.048000,0.0493,0.0273,0.9914,0.993
0.050000,0.0503,0.0205,0.9972,0.999
0.053000,0.0513,0.0146,0.9953,0.997
0.056000,0.0552,0.0058,0.9914,0.993
0.057000,0.0542,-0.0010,0.9933,0.995
0.060000,0.0532,-0.0020,0.9933,0.995
0.062000,0.0542,-0.0020,0.9963,0.998
0.065000,0.0523,-0.0010,0.9992,1.001
0.068000,0.0513,0.0039,1.0051,1.006
0.070000,0.0484,0.0078,1.0060,1.007
0.073000,0.0474,0.0117,0.9972,0.998
0.075000,0.0396,0.0136,0.9924,0.993
0.078000,0.0337,0.0175,0.9845,0.985
0.080000,0.0278,0.0146,0.9748,0.975
0.083000,0.0200,0.0117,0.9758,0.976
0.085000,0.0171,0.0117,0.9767,0.977
0.087000,0.0132,0.0127,0.9865,0.987
0.090000,0.0171,0.0107,0.9855,0.986
0.093000,0.0220,0.0127,0.9894,0.990
0.095000,0.0318,0.0146,0.9963,0.997
