time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,0.0845,0.0123,0.1040,0.135
0.003000,0.0671,-0.0447,0.1270,0.150
0.008000,0.0490,-0.0817,0.0331,0.101
0.013000,0.0376,-0.1199,-0.0774,0.148
0.020000,0.0164,-0.1400,-0.1499,0.206
0.022000,-0.0428,-0.1280,-0.2035,0.244
0.028000,-0.0587,-0.1437,-0.2193,0.269
0.033000,-0.0481,-0.1202,-0.2239,0.259
0.040000,-0.0301,-0.1032,-0.2099,0.236
0.043000,-0.0094,-0.0736,-0.1585,0.175
0.048000,0.0211,-0.0389,-0.1080,0.117
0.052000,0.0187,0.0078,-0.0581,0.062
0.060000,0.0100,0.0451,-0.0041,0.046
0.063000,0.0160,0.0750,0.0328,0.083
0.069000,-0.0012,0.0502,0.0647,0.082
0.074000,-0.0225,0.0373,0.1131,0.121
0.079000,-0.0578,0.0100,0.1375,0.150
0.083000,-0.0739,-0.0030,0.1525,0.169
0.089000,-0.0756,0.0000,0.1131,0.136
0.096000,-0.0610,-0.0093,0.1099,0.126
0.099000,-0.0636,-0.0238,0.0858,0.109
0.104000,-0.0379,-0.0389,0.0836,0.100
0.109000,-0.0389,-0.0734,0.0913,0.123
0.113000,-0.0140,-0.0938,0.0897,0.130
0.120000,0.0270,-0.0883,0.0765,0.120
0.125000,0.0458,-0.0809,0.0327,0.099
0.129000,0.0713,-0.0926,-0.0202,0.119
0.134000,0.0465,-0.0780,-0.0680,0.113
0.140000,0.0264,-0.0943,-0.0727,0.122
0.145000,-0.0198,-0.1175,-0.0918,0.150
0.150000,-0.0633,-0.1306,-0.0872,0.169
0.154000,-0.0827,-0.1315,-0.1066,0.188
0.160000,-0.0452,-0.1130,-0.1166,0.169
0.164000,-0.0343,-0.1062,-0.1316,0.173
0.170000,-0.0094,-0.0728,-0.1159,0.137
0.175000,-0.0178,-0.0585,-0.0696,0.093
0.185000,-0.0213,-0.0510,-0.0050,0.055
0.185000,0.0041,-0.0218,0.0042,0.023
0.189000,0.0341,-0.0021,0.0250,0.042
0.194000,0.1045,-0.0157,0.0385,0.112
