time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.007000,-0.0235,-0.1250,-0.1203,0.175
0.007000,-0.0839,-0.1352,-0.1599,0.226
0.007000,-0.1108,-0.1493,-0.1303,0.227
0.012000,-0.0779,-0.1597,-0.1437,0.228
0.017000,-0.0021,-0.1307,-0.1687,0.213
0.022000,0.0808,-0.1150,-0.2053,0.249
0.027000,0.1492,-0.1239,-0.1918,0.273
0.032000,0.1890,-0.1219,-0.1830,0.290
0.038000,0.2334,-0.0947,-0.2098,0.328
0.042000,0.2628,-0.0454,-0.2127,0.341
0.047000,0.2445,-0.0262,-0.2060,0.321
0.052000,0.1858,0.0053,-0.1567,0.243
0.058000,0.1201,0.0323,-0.0959,0.157
0.062000,0.0356,0.0568,-0.0403,0.078
0.067000,-0.0247,0.0574,-0.0019,0.063
0.072000,-0.0252,0.0788,0.0505,0.097
0.079000,-0.0447,0.0544,0.1024,0.124
0.083000,-0.0500,0.0530,0.1657,0.181
0.087000,-0.0433,0.0462,0.2024,0.212
0.092000,-0.0129,0.0267,0.2459,0.248
0.098000,0.0461,0.0111,0.2652,0.269
0.103000,0.1262,0.0211,0.2487,0.280
0.107000,0.2039,0.0020,0.2253,0.304
0.113000,0.2484,-0.0362,0.1998,0.321
0.118000,0.2522,-0.0527,0.1412,0.294
0.123000,0.2341,-0.0475,0.0498,0.244
0.128000,0.1751,-0.0325,-0.0479,0.184
0.133000,0.0921,-0.0197,-0.1140,0.148
0.139000,0.0470,-0.0538,-0.1321,0.150
0.144000,0.0016,-0.0728,-0.1999,0.213
0.149000,-0.0199,-0.0862,-0.2197,0.237
0.153000,-0.0319,-0.0778,-0.2013,0.218
0.158000,-0.0417,-0.0428,-0.1901,0.199
0.163000,-0.0515,0.0042,-0.1909,0.198
0.168000,-0.0802,0.0038,-0.1822,0.199
0.174000,-0.0634,-0.0154,-0.1166,0.134
0.179000,-0.0773,-0.0198,-0.0633,0.102
0.184000,-0.0913,-0.0240,-0.0390,0.102
0.189000,-0.1050,-0.0138,-0.0529,0.118
0.194000,-0.1088,-0.0204,-0.0239,0.113
0.199000,-0.1146,-0.0578,0.0025,0.128
0.203000,-0.1201,-0.0739,0.0002,0.141
0.210000,-0.1324,-0.0567,0.0146,0.145
0.214000,-0.1659,-0.0494,0.0146,0.174
0.219000,-0.1562,-0.0093,0.0383,0.161
0.225000,-0.1581,0.0514,0.0666,0.179
0.229000,-0.1499,0.0970,0.0970,0.203
0.234000,-0.0985,0.1203,0.1319,0.204
0.240000,-0.0612,0.1550,0.1405,0.218
0.245000,-0.0166,0.1722,0.1418,0.224
0.249000,0.0281,0.1770,0.1550,0.237
0.255000,0.0918,0.1503,0.1420,0.226
0.260000,0.1552,0.1378,0.0982,0.230
0.270000,0.2297,0.0798,0.0097,0.243
0.270000,0.2274,0.0625,-0.0330,0.238
0.274000,0.2201,0.0049,-0.0422,0.224
0.281000,0.1219,-0.0214,-0.0441,0.131
0.285000,0.0594,-0.0405,-0.0438,0.084
