time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005000,-0.4050,-0.1006,-0.0307,0.418
0.006000,-0.3234,-0.0175,0.0595,0.329
0.009000,-0.2330,0.0553,0.0651,0.248
0.014000,-0.1718,0.1107,0.0405,0.208
0.019000,-0.0896,0.1912,-0.0643,0.221
0.024000,0.0418,0.2562,-0.2004,0.328
0.029000,0.1366,0.2677,-0.3694,0.476
0.034000,0.2330,0.2617,-0.5607,0.661
0.039000,0.3382,0.2289,-0.6643,0.780
0.047000,0.4212,0.1908,-0.7285,0.863
0.050000,0.4561,0.1831,-0.7485,0.895
0.054000,0.4741,0.1604,-0.7060,0.865
0.059000,0.4802,0.1326,-0.6163,0.793
0.064000,0.4151,0.1021,-0.5034,0.660
0.070000,0.3363,0.1095,-0.3933,0.529
0.074000,0.1845,0.1192,-0.1879,0.289
0.079000,-0.0515,0.0581,0.0455,0.090
0.085000,-0.2287,0.0196,0.3165,0.391
0.090000,-0.3974,-0.0652,0.6176,0.737
0.095000,-0.5196,-0.1815,0.8889,1.046
0.100000,-0.5697,-0.2678,1.0770,1.247
0.105000,-0.5173,-0.3006,1.1812,1.324
0.109000,-0.4702,-0.3702,1.2548,1.390
0.115000,-0.3689,-0.4338,1.1563,1.289
0.120000,-0.2970,-0.5055,0.9818,1.144
0.125000,-0.1949,-0.5690,0.8466,1.038
0.130000,-0.0961,-0.5390,0.6341,0.838
0.136000,0.0114,-0.5065,0.3808,0.634
0.141000,0.0585,-0.4263,0.1660,0.461
0.145000,0.1385,-0.3395,-0.0178,0.367
0.152000,0.2107,-0.2535,-0.1493,0.362
0.156000,0.2823,-0.1732,-0.2121,0.393
0.161000,0.3509,-0.0987,-0.1830,0.408
0.166000,0.3715,-0.0302,-0.1480,0.401
0.170000,0.3540,0.0613,-0.0934,0.371
0.175000,0.3271,0.1040,-0.0478,0.347
0.181000,0.3361,0.1431,-0.0140,0.366
0.185000,0.3856,0.1738,0.0056,0.423
0.190000,0.3515,0.1734,0.0201,0.392
0.196000,-0.2498,-0.0369,0.1505,0.294
0.201000,-0.3879,-0.1033,0.2440,0.470
0.206000,-0.0428,-0.0563,0.2979,0.306
0.212000,0.2190,-0.0493,0.3018,0.376
0.216000,0.4099,-0.0702,0.3016,0.514
0.221000,0.4806,-0.0922,0.3309,0.591
0.226000,0.3965,-0.1050,0.3045,0.511
0.231000,0.2134,-0.1533,0.2714,0.378
0.236000,-0.0491,-0.1955,0.2156,0.295
0.241000,-0.2477,-0.2697,0.2043,0.419
0.248000,-0.3379,-0.3472,0.2323,0.537
0.252000,-0.3490,-0.3620,0.2514,0.562
0.256000,-0.2343,-0.3408,0.2514,0.484
0.263000,-0.1157,-0.2748,0.2533,0.391
0.266000,-0.0171,-0.1859,0.2326,0.298
0.272000,0.0380,-0.0789,0.2065,0.224
0.276000,0.0024,0.0128,0.1588,0.159
0.282000,-0.0495,0.0945,0.0616,0.123
0.287000,-0.1200,0.1667,-0.0179,0.206
0.292000,-0.1710,0.1983,-0.0992,0.280
0.297000,-0.1647,0.2442,-0.1494,0.330
0.302000,-0.1274,0.2993,-0.1736,0.369
0.307000,-0.0905,0.3132,-0.2079,0.387
0.312000,-0.0847,0.3455,-0.2211,0.419
0.317000,-0.0575,0.3606,-0.2633,0.450
0.321000,-0.0756,0.3348,-0.3029,0.458
0.327000,-0.0698,0.2949,-0.3304,0.448
