time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,-0.0385,-0.1589,0.0751,0.180
0.005000,-0.0522,-0.1549,-0.0116,0.164
0.010000,-0.0865,-0.1478,-0.0720,0.186
0.015000,-0.1056,-0.1445,-0.1065,0.208
0.021000,-0.1268,-0.1565,-0.1513,0.252
0.026000,-0.1311,-0.1194,-0.2088,0.274
0.032000,-0.0976,-0.0690,-0.2459,0.273
0.036000,-0.0557,-0.0340,-0.3078,0.315
0.040000,-0.0203,0.0310,-0.3399,0.342
0.047000,-0.0178,0.0756,-0.3422,0.351
0.050000,0.0161,0.0976,-0.2770,0.294
0.058000,0.0505,0.1113,-0.1993,0.234
0.060000,0.0956,0.1116,-0.0638,0.160
0.065000,0.0951,0.1103,0.0960,0.174
0.071000,0.1022,0.1026,0.2232,0.266
0.076000,0.0861,0.1166,0.3134,0.345
0.081000,0.0805,0.1234,0.3721,0.400
0.086000,0.0804,0.1538,0.3497,0.390
0.095000,0.1073,0.1814,0.2873,0.356
0.096000,0.1488,0.1894,0.2187,0.325
0.101000,0.1501,0.1993,0.1581,0.295
0.106000,0.1453,0.1777,0.1485,0.273
0.111000,0.0985,0.1296,0.1322,0.210
0.116000,0.0551,0.1313,0.1356,0.197
0.121000,0.0098,0.1110,0.0705,0.132
0.126000,-0.0091,0.1048,0.0490,0.116
0.132000,-0.0045,0.0580,0.0255,0.064
0.136000,0.0445,0.0329,0.0236,0.060
0.141000,0.0665,0.0342,0.0477,0.089
0.153000,0.0286,0.0615,0.0954,0.117
0.154000,-0.0522,0.1078,0.1591,0.199
0.157000,-0.1612,0.1136,0.2007,0.281
0.161000,-0.2175,0.1363,0.2250,0.341
0.166000,-0.2243,0.1758,0.2274,0.365
0.172000,-0.1750,0.1892,0.2057,0.330
0.178000,-0.1173,0.2124,0.1910,0.309
0.182000,-0.0579,0.2379,0.1952,0.313
0.186000,-0.0414,0.2136,0.2064,0.300
0.192000,-0.0698,0.1775,0.2199,0.291
0.197000,-0.0810,0.1229,0.1953,0.245
0.204000,-0.1464,0.0898,0.2019,0.265
0.207000,-0.1682,0.0686,0.2040,0.273
