time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005000,-0.0519,-0.2966,-0.0523,0.306
0.005000,-0.0664,-0.2707,-0.1441,0.314
0.009000,-0.0611,-0.2300,-0.2643,0.356
0.012000,0.0020,-0.1956,-0.3466,0.398
0.019000,0.0821,-0.1820,-0.4148,0.460
0.023000,0.1386,-0.1795,-0.4643,0.517
0.027000,0.1881,-0.1401,-0.4949,0.548
0.032000,0.1993,-0.0713,-0.5039,0.547
0.038000,0.2224,0.0006,-0.4986,0.546
0.043000,0.2429,0.0799,-0.4719,0.537
0.048000,0.2085,0.1289,-0.4189,0.485
0.052000,0.1594,0.1833,-0.3631,0.437
0.058000,0.1006,0.1715,-0.2880,0.350
0.063000,0.0655,0.1459,-0.1512,0.220
0.068000,0.0188,0.0925,-0.0486,0.106
0.074000,-0.0228,0.0607,0.0199,0.068
0.079000,-0.0785,0.0502,0.0809,0.123
0.083000,-0.1384,0.0081,0.1389,0.196
0.089000,-0.1786,-0.0227,0.1794,0.254
0.101000,-0.2205,-0.0779,0.2262,0.325
0.102000,-0.2450,-0.0908,0.2388,0.354
0.103000,-0.2427,-0.0948,0.2317,0.349
0.109000,-0.2117,-0.0688,0.1816,0.287
0.113000,-0.1690,-0.0056,0.1626,0.235
0.120000,-0.1363,0.0045,0.1178,0.180
0.124000,-0.0993,-0.0260,0.1019,0.145
0.128000,-0.0627,-0.0704,0.0650,0.115
0.133000,-0.0171,-0.0763,0.0287,0.083
0.139000,0.0489,-0.0701,-0.0043,0.086
0.143000,0.0804,-0.0829,-0.0387,0.122
0.148000,0.1135,-0.0765,-0.0483,0.145
0.155000,0.1459,-0.0868,-0.0289,0.172
0.160000,0.1754,-0.0730,0.0073,0.190
0.165000,0.1547,-0.0426,0.0290,0.163
0.170000,0.1269,-0.0525,0.0578,0.149
0.174000,0.0993,-0.0099,0.0485,0.111
0.179000,0.0580,0.0019,0.0984,0.114
0.185000,-0.0137,-0.0029,0.1381,0.139
0.189000,-0.1061,-0.0358,0.1467,0.185
0.194000,-0.1381,-0.0680,0.1312,0.202
0.199000,-0.1435,-0.0974,0.1465,0.227
0.204000,-0.0845,-0.0885,0.1471,0.191
0.209000,-0.0184,-0.0800,0.1542,0.175
0.215000,0.0451,-0.0743,0.1396,0.164
0.219000,0.0748,-0.0431,0.1036,0.135
0.225000,0.1233,-0.0151,0.0750,0.145
0.230000,0.1902,-0.0161,0.0372,0.194
0.234000,0.1996,-0.0105,0.0187,0.201
0.239000,0.2064,-0.0077,0.0289,0.209
0.245000,0.1966,-0.0266,0.0152,0.199
0.251000,0.1557,-0.0005,-0.0218,0.157
0.254000,0.1219,0.0014,-0.0367,0.127
0.260000,0.1069,-0.0085,-0.0510,0.119
0.266000,0.0895,-0.0232,-0.0389,0.100
0.269000,0.0698,-0.0117,-0.0244,0.075
0.277000,0.0144,-0.0097,-0.0170,0.024
0.281000,-0.0287,-0.0104,-0.0142,0.034
0.286000,-0.0503,-0.0131,0.0030,0.052
0.291000,-0.0527,-0.0109,0.0154,0.056
0.296000,-0.0505,-0.0325,0.0301,0.067
0.301000,-0.0317,-0.0563,0.0471,0.080
0.305000,-0.0320,-0.0514,0.0545,0.081
0.311000,0.0033,-0.0443,0.0617,0.076
0.316000,0.0809,-0.0257,0.0904,0.124
0.320000,0.1603,0.0019,0.1139,0.197
0.325000,0.2417,0.0143,0.1275,0.274
0.331000,0.2824,0.0189,0.1381,0.315
0.335000,0.2969,-0.0221,0.1221,0.322
0.341000,0.2996,-0.0538,0.1083,0.323
0.346000,0.3024,-0.0906,0.1159,0.336
0.350000,0.2884,-0.0966,0.0308,0.306
0.356000,0.2006,-0.0744,-0.0437,0.218
0.361000,0.0965,-0.0718,-0.0886,0.149
0.366000,-0.0192,-0.0647,-0.1301,0.147
0.371000,-0.1365,-0.0622,-0.1425,0.207
0.377000,-0.2077,-0.0851,-0.1192,0.254
0.382000,-0.2921,-0.1119,-0.0942,0.327
0.387000,-0.3613,-0.1401,-0.0766,0.395
0.392000,-0.3965,-0.1457,-0.0996,0.434
0.396000,-0.4102,-0.1598,-0.0961,0.451
0.402000,-0.3550,-0.1422,-0.0878,0.392
0.407000,-0.3073,-0.1074,-0.0580,0.331
0.412000,-0.1602,-0.0536,-0.0216,0.170
0.419000,-0.0426,-0.0026,-0.0355,0.056
0.421000,0.0859,0.0217,-0.0683,0.112
0.427000,0.1417,0.0478,-0.1076,0.184
0.432000,0.1706,0.0424,-0.1130,0.209
0.437000,0.1517,0.0129,-0.1135,0.190
0.442000,0.0925,-0.0283,-0.0901,0.132
0.448000,-0.0090,-0.0647,-0.0836,0.106
0.452000,-0.1287,-0.0767,-0.0936,0.177
0.459000,-0.2236,-0.1120,-0.0918,0.266
0.461000,-0.3057,-0.1182,-0.0592,0.333
0.468000,-0.3276,-0.1430,-0.0579,0.362
0.472000,-0.3515,-0.1269,-0.0235,0.374
0.479000,-0.3440,-0.0941,0.0008,0.357
0.483000,-0.2461,-0.0495,0.0103,0.251
0.488000,-0.1865,-0.0574,0.0429,0.200
0.497000,-0.1342,-0.0628,0.0749,0.166
0.498000,-0.0348,-0.0611,0.0544,0.089
0.503000,0.0493,-0.0454,0.0224,0.071
0.508000,0.1371,-0.0229,0.0100,0.139
0.513000,0.1670,-0.0008,-0.0068,0.167
0.520000,0.1798,-0.0028,0.0005,0.180
0.522000,0.1613,-0.0099,0.0223,0.163
0.529000,0.1640,-0.0005,0.0322,0.167
0.533000,0.0931,0.0040,0.0375,0.100
0.539000,0.0466,-0.0201,0.0426,0.066
0.545000,-0.0041,-0.0184,0.0475,0.051
0.547000,-0.0684,-0.0427,0.0520,0.096
0.552000,-0.1081,-0.0477,0.0490,0.128
0.561000,-0.1664,-0.0811,0.0056,0.185
0.562000,-0.1741,-0.0692,-0.0021,0.187
0.568000,-0.1862,-0.0857,-0.0290,0.207
0.572000,-0.1127,-0.0733,-0.0249,0.137
0.579000,-0.0777,-0.0869,-0.0232,0.119
0.583000,-0.0050,-0.0859,-0.0168,0.088
0.588000,0.0241,-0.0753,-0.0149,0.080
0.600000,0.0646,-0.0408,-0.0341,0.084
0.601000,0.0738,0.0124,-0.0554,0.093
0.603000,0.0920,0.0462,-0.0499,0.114
0.613000,0.1076,0.0772,-0.0420,0.139
0.614000,0.0707,0.0439,-0.0317,0.089
0.619000,0.0151,0.0441,-0.0309,0.056
0.623000,-0.0330,0.0134,-0.0158,0.039
0.628000,-0.0809,-0.0360,0.0113,0.089
0.633000,-0.1093,-0.0566,0.0262,0.126
0.638000,-0.0924,-0.0773,0.0694,0.139
0.643000,-0.1060,-0.1121,0.1047,0.186
0.648000,-0.0767,-0.1538,0.1229,0.211
0.654000,-0.0546,-0.1762,0.1312,0.226
0.660000,0.0152,-0.1629,0.1486,0.221
0.663000,0.0894,-0.1216,0.1369,0.204
0.669000,0.1586,-0.0810,0.1084,0.208
0.674000,0.1871,-0.0246,0.0536,0.196
0.681000,0.2321,0.0238,0.0443,0.237
0.684000,0.2933,0.0644,0.0230,0.301
0.689000,0.2899,0.0593,0.0091,0.296
0.700000,0.2841,0.0564,-0.0235,0.291
0.702000,0.2638,0.0036,-0.0605,0.271
0.704000,0.2243,-0.0465,-0.0895,0.246
0.713000,0.1728,-0.1008,-0.1201,0.233
0.714000,0.1358,-0.1664,-0.1479,0.261
0.719000,0.1058,-0.1909,-0.1513,0.266
0.724000,0.0448,-0.1865,-0.1518,0.245
0.730000,0.0172,-0.1866,-0.1375,0.232
0.734000,-0.0058,-0.1341,-0.1396,0.194
0.740000,-0.0290,-0.0914,-0.1174,0.152
0.745000,-0.0521,-0.0586,-0.0740,0.108
0.751000,-0.0914,-0.0425,-0.0382,0.108
0.755000,-0.1254,-0.0003,-0.0102,0.126
0.761000,-0.1636,0.0062,-0.0064,0.164
0.765000,-0.1941,0.0010,-0.0052,0.194
0.770000,-0.2220,-0.0255,-0.0018,0.223
0.775000,-0.2280,-0.0491,-0.0128,0.234
0.781000,-0.2101,-0.0721,0.0189,0.223
0.786000,-0.1612,-0.0947,0.0311,0.190
0.790000,-0.0818,-0.1121,0.0289,0.142
0.803000,-0.0125,-0.1153,0.0076,0.116
0.804000,0.0654,-0.0947,-0.0559,0.128
0.806000,0.0926,-0.0792,-0.0854,0.149
0.822000,0.1004,-0.0614,-0.0575,0.131
0.824000,0.1104,-0.0392,-0.0415,0.124
0.824000,0.1083,-0.0242,-0.0208,0.113
0.833000,0.0872,-0.0071,-0.0026,0.088
0.835000,0.0590,-0.0043,-0.0224,0.063
0.836000,0.0311,-0.0015,-0.0183,0.036
0.841000,-0.0465,0.0013,0.0143,0.049
