time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004000,-0.5013,0.3518,-0.0950,0.620
0.004000,-0.4216,0.2968,-0.3690,0.634
0.010000,-0.3046,0.1609,-0.6332,0.721
0.014000,-0.1741,-0.0052,-0.8298,0.848
0.019000,-0.1135,-0.1396,-0.9784,0.995
0.024000,-0.0390,-0.3019,-0.9772,1.024
0.031000,0.0279,-0.4438,-0.8845,0.990
0.035000,0.0255,-0.5392,-0.6089,0.814
0.039000,-0.0266,-0.5451,-0.1785,0.574
0.047000,-0.1163,-0.4996,0.3767,0.636
0.051000,-0.2577,-0.4147,0.8948,1.019
0.055000,-0.3744,-0.2552,1.2366,1.317
0.061000,-0.4239,-0.0624,1.3988,1.463
0.065000,-0.3641,0.1416,1.3560,1.411
0.070000,-0.2502,0.3086,1.1443,1.211
0.074000,-0.0756,0.3434,0.7036,0.787
0.081000,0.0597,0.3255,0.1412,0.360
0.085000,0.1844,0.3074,-0.4516,0.577
0.091000,0.2345,0.2605,-0.9235,0.988
0.096000,0.2748,0.3065,-1.2395,1.306
0.100000,0.2340,0.3076,-1.3489,1.403
0.105000,0.2434,0.2471,-1.3400,1.384
0.111000,0.4047,0.2107,-1.1505,1.238
0.115000,0.5339,0.1528,-0.9170,1.072
0.120000,0.5813,0.0664,-0.6718,0.891
0.126000,0.5191,0.0064,-0.3904,0.650
0.135000,0.4314,-0.0414,-0.0959,0.444
0.136000,0.3445,-0.0842,0.2005,0.407
0.141000,0.2630,-0.1197,0.4621,0.545
0.146000,0.1655,-0.1072,0.6268,0.657
0.151000,0.0689,-0.0781,0.6834,0.691
0.156000,0.0110,-0.0442,0.6619,0.663
0.162000,0.0058,-0.0462,0.6082,0.610
0.165000,0.0576,-0.0486,0.4662,0.472
0.171000,0.0925,-0.0703,0.2941,0.316
0.177000,0.1080,-0.0919,0.1302,0.193
0.181000,0.1377,-0.0944,-0.0014,0.167
0.187000,0.1980,-0.1018,-0.0817,0.237
0.192000,0.2674,-0.0739,-0.1061,0.297
0.196000,0.3836,-0.0038,-0.1080,0.399
0.201000,0.4657,0.0085,-0.0518,0.469
0.207000,0.5899,0.0247,0.0129,0.591
0.214000,0.6775,0.0872,0.0790,0.688
0.217000,0.6434,0.1058,0.1393,0.667
0.221000,0.5763,0.1309,0.1609,0.612
0.226000,0.4861,0.1484,0.2147,0.552
0.232000,0.3515,0.1584,0.2475,0.458
0.237000,0.2347,0.1326,0.2873,0.394
0.241000,0.1403,0.0881,0.3071,0.349
0.247000,0.0323,0.0064,0.2899,0.292
0.252000,-0.0344,-0.0505,0.2571,0.264
0.257000,-0.1362,-0.1253,0.1761,0.255
0.261000,-0.2373,-0.1701,0.1330,0.321
0.267000,-0.2972,-0.2159,0.1254,0.388
0.272000,-0.3567,-0.2296,0.1504,0.450
0.278000,-0.3943,-0.2092,0.1988,0.489
0.282000,-0.3533,-0.1578,0.2843,0.480
0.288000,-0.2794,-0.0904,0.3759,0.477
0.292000,-0.2204,-0.0669,0.4238,0.482
0.298000,-0.1902,-0.0918,0.4616,0.508
0.302000,-0.1460,-0.0651,0.4730,0.499
0.308000,-0.0998,-0.0251,0.3989,0.412
0.313000,-0.0254,0.0327,0.2878,0.291
0.318000,0.0294,0.1204,0.1684,0.209
0.322000,0.1052,0.1850,0.0313,0.215
0.328000,0.1852,0.2293,-0.0591,0.301
0.337000,0.2503,0.2369,-0.1458,0.374
0.338000,0.3244,0.2768,-0.2026,0.472
0.343000,0.3742,0.3133,-0.2181,0.535
0.348000,0.3311,0.3656,-0.1946,0.530
0.353000,0.3145,0.3740,-0.1949,0.526
0.358000,0.2672,0.3886,-0.1760,0.503
0.362000,0.1895,0.3762,-0.1572,0.450
0.368000,0.0674,0.3634,-0.1598,0.403
0.374000,-0.0798,0.3314,-0.1579,0.376
0.378000,-0.2352,0.2876,-0.1493,0.400
0.383000,-0.3466,0.2230,-0.1391,0.435
0.388000,-0.4500,0.1526,-0.1247,0.491
0.394000,-0.5098,0.0953,-0.0987,0.528
0.398000,-0.4885,0.0130,-0.0308,0.490
0.403000,-0.4746,-0.1007,0.0097,0.485
0.408000,-0.4442,-0.2027,-0.0223,0.489
0.415000,-0.4285,-0.2600,-0.0668,0.506
0.419000,-0.4083,-0.2750,-0.0853,0.500
0.423000,-0.3432,-0.2509,-0.0829,0.433
0.432000,-0.2834,-0.1740,-0.1118,0.351
0.434000,-0.2171,-0.0829,-0.1168,0.260
0.439000,-0.1586,-0.0250,-0.0889,0.184
0.443000,-0.1195,0.0304,-0.0735,0.144
0.450000,-0.0784,0.0811,-0.0775,0.137
0.454000,-0.0425,0.1008,-0.0817,0.137
0.458000,-0.0211,0.1159,-0.1218,0.169
0.463000,-0.0237,0.1002,-0.0974,0.142
0.471000,-0.0001,0.0660,-0.1132,0.131
0.474000,0.0257,0.0179,-0.1376,0.141
0.480000,0.0584,-0.0018,-0.1726,0.182
0.484000,0.0647,0.0142,-0.1373,0.152
0.491000,0.0450,0.0154,-0.0464,0.066
0.495000,0.0800,0.0092,0.0566,0.098
0.500000,0.0887,-0.0141,0.1357,0.163
0.504000,0.0830,-0.0798,0.1810,0.214
0.514000,0.0679,-0.1280,0.2228,0.266
0.518000,0.0196,-0.1656,0.2349,0.288
0.519000,-0.0023,-0.1925,0.2931,0.351
0.524000,-0.0311,-0.1945,0.2880,0.349
0.532000,0.0067,-0.1697,0.2319,0.287
0.534000,0.0417,-0.1329,0.1378,0.196
0.539000,0.0955,-0.0867,0.0300,0.132
0.544000,0.1227,-0.0220,-0.0889,0.153
0.552000,0.1283,0.0445,-0.1808,0.226
0.554000,0.0627,0.0583,-0.1861,0.205
0.564000,0.0783,0.0905,-0.1909,0.225
0.565000,0.0963,0.1573,-0.1998,0.272
