time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004000,-0.4357,0.1398,-0.0626,0.462
0.004000,-0.4070,0.1382,-0.0891,0.439
0.007000,-0.3415,0.1342,-0.1281,0.389
0.011000,-0.3128,0.1279,-0.1872,0.386
0.017000,-0.2441,0.1099,-0.2543,0.369
0.022000,-0.1904,0.0849,-0.3175,0.380
0.027000,-0.1558,0.0603,-0.3482,0.386
0.031000,-0.1018,0.0407,-0.3346,0.352
0.037000,-0.0473,0.0379,-0.3266,0.332
0.046000,-0.0211,0.0186,-0.3356,0.337
0.049000,-0.0012,0.0137,-0.3069,0.307
0.051000,0.0146,-0.0077,-0.2643,0.265
0.058000,0.0337,-0.0146,-0.2480,0.251
0.062000,0.0441,0.0022,-0.2128,0.217
0.068000,0.0985,0.0166,-0.1849,0.210
0.071000,0.1773,0.0095,-0.1617,0.240
0.078000,0.2447,-0.0284,-0.1482,0.287
0.083000,0.2244,-0.0826,-0.1490,0.282
0.088000,0.2475,-0.0461,-0.0382,0.255
0.092000,0.2234,-0.0123,0.0577,0.231
0.098000,0.1947,0.0331,0.1223,0.232
0.102000,0.1402,0.1018,0.1249,0.214
0.106000,0.0576,0.1320,0.1136,0.183
0.113000,-0.0407,0.1120,0.1127,0.164
0.119000,-0.1115,0.1135,0.1436,0.214
0.123000,-0.1024,0.1007,0.1466,0.205
0.129000,-0.0996,0.0975,0.1172,0.182
0.132000,-0.1193,0.0587,0.0937,0.163
0.139000,-0.1307,0.0012,0.0283,0.134
0.143000,-0.1863,-0.0748,-0.0620,0.210
0.148000,-0.1934,-0.1430,-0.1540,0.286
0.152000,-0.2099,-0.1941,-0.2430,0.375
0.159000,-0.2047,-0.1948,-0.2889,0.404
0.163000,-0.2143,-0.1908,-0.3302,0.437
0.169000,-0.2267,-0.1725,-0.3435,0.446
0.172000,-0.2349,-0.1448,-0.3790,0.469
0.179000,-0.2272,-0.1387,-0.3678,0.454
0.183000,-0.1803,-0.1279,-0.3794,0.439
0.189000,-0.1799,-0.1242,-0.3802,0.439
0.194000,-0.2330,-0.1467,-0.4011,0.487
0.198000,-0.1752,-0.1096,-0.3610,0.416
0.203000,-0.1692,-0.0704,-0.2793,0.334
0.208000,-0.1001,-0.0435,-0.2581,0.280
0.213000,-0.0234,-0.0405,-0.2469,0.251
0.219000,-0.0675,-0.0707,-0.2552,0.273
0.224000,-0.0415,-0.0699,-0.1901,0.207
0.234000,-0.0004,-0.0809,-0.1376,0.160
0.235000,0.0537,-0.0824,-0.1616,0.189
0.239000,0.1349,-0.0553,-0.1760,0.229
0.245000,0.0982,-0.0807,-0.1311,0.183
0.250000,0.0206,-0.0631,-0.0556,0.087
0.253000,-0.0640,-0.0362,0.0168,0.075
0.261000,-0.1219,0.0594,0.0626,0.149
0.264000,-0.1722,0.1091,0.1034,0.229
0.270000,-0.2411,0.1323,0.1892,0.334
0.274000,-0.3349,0.1576,0.2819,0.465
0.280000,-0.3842,0.1661,0.3197,0.527
0.285000,-0.3580,0.2031,0.3031,0.511
0.289000,-0.2752,0.2563,0.3182,0.493
0.294000,-0.1620,0.2378,0.3316,0.439
0.301000,-0.0823,0.1934,0.3675,0.423
0.304000,0.0404,0.1350,0.3832,0.408
0.309000,0.1559,0.0580,0.3621,0.398
0.314000,0.2189,-0.0469,0.2690,0.350
0.320000,0.2455,-0.1177,0.2037,0.340
0.325000,0.2237,-0.2070,0.1829,0.355
0.330000,0.2194,-0.2980,0.1272,0.391
0.334000,0.2225,-0.4000,-0.0393,0.459
0.341000,0.1825,-0.4751,-0.2309,0.559
0.346000,0.1652,-0.5233,-0.3551,0.654
0.350000,0.1274,-0.5498,-0.4319,0.711
0.354000,0.0376,-0.5593,-0.4216,0.701
0.360000,-0.0350,-0.5284,-0.4415,0.689
0.365000,-0.0526,-0.4715,-0.4606,0.661
0.371000,-0.0673,-0.3841,-0.4575,0.601
0.374000,-0.0624,-0.2855,-0.3778,0.478
0.381000,-0.0756,-0.1901,-0.2381,0.314
0.386000,-0.0919,-0.1025,-0.1098,0.176
0.390000,-0.1064,-0.0132,0.0096,0.108
