time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006000,0.0172,-0.2177,-0.2330,0.319
0.007000,-0.0327,-0.2050,-0.2714,0.342
0.007000,-0.0751,-0.2031,-0.2952,0.366
0.012000,-0.1054,-0.1905,-0.2809,0.355
0.017000,-0.1096,-0.1652,-0.2453,0.315
0.021000,-0.0976,-0.1016,-0.1934,0.239
0.027000,-0.0619,-0.0356,-0.1419,0.159
0.032000,0.0140,0.0701,-0.0766,0.105
0.036000,0.0493,0.0964,-0.0071,0.109
0.043000,0.0660,0.1148,0.0785,0.154
0.047000,0.1043,0.1203,0.1538,0.221
0.053000,0.1019,0.1176,0.1597,0.223
0.058000,0.1112,0.0998,0.1726,0.228
0.062000,0.1060,0.0954,0.1712,0.223
0.067000,0.1106,0.0874,0.1650,0.217
0.073000,0.1701,0.0311,0.1542,0.232
0.079000,0.1935,-0.0064,0.1458,0.242
0.083000,0.2194,-0.0561,0.0924,0.245
0.087000,0.1719,-0.1196,0.0370,0.213
0.093000,0.1226,-0.1683,-0.0345,0.211
0.097000,0.0764,-0.1616,-0.0888,0.200
0.103000,0.0570,-0.1449,-0.1473,0.214
0.110000,0.0430,-0.1226,-0.1817,0.223
0.113000,0.0364,-0.1114,-0.2205,0.250
0.117000,0.0562,-0.1062,-0.2709,0.296
0.122000,0.0780,-0.0620,-0.2900,0.307
0.129000,0.0878,-0.0219,-0.2829,0.297
0.133000,0.1234,0.0210,-0.2686,0.296
0.138000,0.1154,0.0663,-0.2308,0.266
0.144000,0.1477,0.1139,-0.1790,0.259
0.149000,0.1913,0.1134,-0.1182,0.252
0.153000,0.1913,0.0819,-0.0531,0.215
0.159000,0.1786,0.0596,-0.0123,0.189
0.164000,0.1514,0.0204,0.0116,0.153
0.170000,0.1549,-0.0091,0.0092,0.155
0.174000,0.1794,-0.0052,-0.0170,0.180
0.184000,0.1799,-0.0179,-0.0358,0.184
0.185000,0.1453,-0.0444,-0.0070,0.152
0.189000,0.0711,-0.0395,-0.0093,0.082
0.194000,0.0289,-0.0222,-0.0305,0.048
0.198000,0.0114,0.0335,-0.0445,0.057
0.204000,0.0064,0.0823,-0.0560,0.100
0.210000,0.0067,0.1125,-0.0532,0.125
0.214000,-0.0217,0.1385,-0.0575,0.152
0.218000,-0.0289,0.1528,-0.0476,0.163
0.223000,-0.0295,0.1649,-0.0211,0.169
0.229000,-0.0326,0.1841,0.0479,0.193
0.234000,-0.0237,0.2201,0.1045,0.245
0.240000,0.0343,0.2394,0.0229,0.243
0.244000,0.0181,0.2038,0.0820,0.220
0.249000,-0.0337,0.1633,0.1716,0.239
0.255000,-0.0165,0.1159,0.1797,0.214
0.259000,-0.0640,0.1276,0.1829,0.232
0.264000,-0.0755,0.1481,0.2123,0.270
0.269000,-0.1101,0.1394,0.2509,0.307
0.273000,-0.1058,0.1325,0.2655,0.315
0.284000,-0.0875,0.1206,0.2965,0.332
0.292000,-0.0445,0.1611,0.2512,0.302
0.292000,0.0301,0.1609,0.2087,0.265
0.294000,0.0191,0.1608,0.2188,0.272
0.300000,0.0058,0.1702,0.1576,0.232
0.304000,-0.0123,0.1771,0.0874,0.198
0.310000,-0.0718,0.1603,0.0676,0.188
0.315000,-0.1053,0.1726,-0.0066,0.202
0.319000,-0.1227,0.0831,-0.0921,0.174
0.324000,-0.2095,-0.0389,-0.0273,0.215
0.330000,-0.2536,-0.0887,-0.0057,0.269
0.335000,-0.2338,-0.0981,-0.0199,0.254
0.340000,-0.1832,-0.0532,-0.0388,0.195
0.345000,-0.1025,-0.0207,-0.0788,0.131
0.350000,-0.0784,-0.0215,-0.0877,0.120
0.354000,-0.0170,-0.0462,-0.1368,0.145
0.362000,0.0515,-0.0303,-0.1523,0.164
0.366000,0.0326,-0.0458,-0.0205,0.060
0.370000,0.0172,-0.0091,-0.0726,0.075
0.375000,0.0075,0.0341,-0.1432,0.147
0.380000,-0.0255,0.0623,-0.2086,0.219
0.386000,-0.0485,0.0519,-0.2591,0.269
0.392000,-0.0883,-0.0132,-0.3116,0.324
0.395000,-0.1053,-0.0971,-0.3684,0.395
0.400000,-0.1404,-0.1473,-0.4057,0.454
0.405000,-0.2424,-0.2061,-0.3667,0.485
0.411000,-0.2722,-0.2309,-0.4277,0.557
0.417000,-0.2005,-0.2742,-0.3529,0.490
0.421000,-0.1534,-0.2860,-0.2170,0.390
0.426000,-0.0478,-0.2925,-0.1796,0.347
0.431000,0.0631,-0.2534,-0.1733,0.313
0.436000,0.1055,-0.2426,-0.1885,0.325
0.441000,0.1421,-0.2220,-0.1726,0.315
0.446000,0.2022,-0.2368,-0.0809,0.322
0.451000,0.2505,-0.2298,-0.0090,0.340
0.455000,0.2538,-0.1944,0.0481,0.323
0.463000,0.2267,-0.1614,0.0881,0.292
0.467000,0.1933,-0.1409,0.1325,0.273
0.472000,0.1367,-0.1090,0.1481,0.229
0.476000,0.0878,-0.0778,0.1825,0.217
0.482000,0.0391,-0.0784,0.2166,0.234
0.487000,0.0212,-0.0844,0.2053,0.223
0.492000,0.0221,-0.1124,0.2464,0.272
0.497000,0.0253,-0.1358,0.2966,0.327
0.501000,0.0238,-0.1619,0.2135,0.269
0.506000,0.1585,-0.1905,0.1833,0.308
0.512000,0.1417,-0.2077,0.3315,0.416
0.516000,0.1502,-0.1778,0.3455,0.417
