time,gFx,gFy,gFz,TgF
0.003000,-0.0591,0.0420,0.9738,0.976
0.003000,-0.0610,0.0400,0.9748,0.978
0.004000,-0.0659,0.0361,0.9767,0.980
0.004000,-0.0640,0.0332,0.9826,0.985
0.004000,-0.0630,0.0322,0.9865,0.989
0.005000,-0.0601,0.0312,0.9943,0.997
0.018000,-0.0610,0.0312,1.0021,1.004
0.018000,-0.0620,0.0312,1.0060,1.008
0.018000,-0.0571,0.0332,1.0041,1.006
0.019000,-0.0522,0.0351,1.0070,1.009
0.019000,-0.0513,0.0361,1.0099,1.012
0.020000,-0.0493,0.0390,1.0051,1.007
0.022000,-0.0474,0.0381,1.0070,1.009
0.027000,-0.0454,0.0420,1.0012,1.003
0.027000,-0.0474,0.0420,0.9992,1.001
0.030000,-0.0493,0.0420,0.9992,1.001
0.032000,-0.0493,0.0420,1.0041,1.006
0.035000,-0.0464,0.0400,1.0158,1.018
0.037000,-0.0483,0.0420,1.0129,1.015
0.040000,-0.0474,0.0449,1.0158,1.018
0.042000,-0.0444,0.0420,1.0090,1.011
0.045000,-0.0425,0.0420,1.0060,1.008
0.047000,-0.0405,0.0410,1.0099,1.012
0.050000,-0.0415,0.0390,1.0031,1.005
0.052000,-0.0454,0.0400,1.0012,1.003
0.055000,-0.0464,0.0351,0.9992,1.001
0.059000,-0.0474,0.0390,0.9904,0.992
0.061000,-0.0493,0.0381,0.9885,0.990
0.062000,-0.0503,0.0410,0.9806,0.983
0.065000,-0.0542,0.0351,0.9748,0.977
0.067000,-0.0591,0.0390,0.9719,0.974
0.069000,-0.0610,0.0390,0.9679,0.971
0.072000,-0.0659,0.0371,0.9709,0.974
0.075000,-0.0688,0.0351,0.9689,0.972
0.077000,-0.0679,0.0371,0.9660,0.969
0.080000,-0.0649,0.0390,0.9660,0.969
0.082000,-0.0581,0.0390,0.9640,0.967
0.084000,-0.0561,0.0390,0.9670,0.969
0.087000,-0.0522,0.0400,0.9679,0.970
0.089000,-0.0474,0.0410,0.9728,0.975
0.092000,-0.0444,0.0410,0.9767,0.979
0.095000,-0.0464,0.0381,0.9855,0.987
0.097000,-0.0425,0.0381,0.9914,0.993
0.099000,-0.0405,0.0351,0.9943,0.996
0.102000,-0.0395,0.0342,0.9992,1.001
0.104000,-0.0366,0.0351,1.0060,1.007
0.107000,-0.0337,0.0400,1.0099,1.011
0.110000,-0.0337,0.0351,1.0217,1.023
0.112000,-0.0317,0.0361,1.0236,1.025
0.114000,-0.0327,0.0342,1.0246,1.026
0.117000,-0.0337,0.0381,1.0265,1.028
0.119000,-0.0327,0.0361,1.0324,1.034
0.122000,-0.0376,0.0400,1.0334,1.035
0.127000,-0.0405,0.0371,1.0314,1.033
0.127000,-0.0454,0.0351,1.0275,1.029
0.130000,-0.0532,0.0361,1.0265,1.029
0.132000,-0.0581,0.0351,1.0256,1.028
0.134000,-0.0630,0.0302,1.0178,1.020
0.139000,-0.0669,0.0302,1.0138,1.017
0.145000,-0.0728,0.0263,1.0119,1.015
0.145000,-0.0737,0.0283,1.0109,1.014
0.147000,-0.0767,0.0224,1.0109,1.014
0.150000,-0.0806,0.0244,1.0138,1.017
0.152000,-0.0815,0.0263,1.0138,1.017
0.154000,-0.0786,0.0273,1.0109,1.014
0.156000,-0.0786,0.0273,1.0080,1.011
0.161000,-0.0737,0.0293,1.0080,1.011
0.161000,-0.0688,0.0263,1.0060,1.009
0.163000,-0.0630,0.0263,1.0080,1.010
0.166000,-0.0591,0.0273,1.0041,1.006
0.169000,-0.0552,0.0254,1.0060,1.008
0.172000,-0.0542,0.0283,1.0090,1.011
0.174000,-0.0464,0.0263,1.0090,1.010
0.179000,-0.0464,0.0254,1.0090,1.010
0.181000,-0.0483,0.0283,1.0051,1.007
0.182000,-0.0454,0.0263,1.0031,1.004
0.184000,-0.0405,0.0263,1.0041,1.005
0.186000,-0.0395,0.0302,1.0070,1.008
0.189000,-0.0386,0.0322,1.0099,1.011
0.192000,-0.0366,0.0332,1.0138,1.015
0.194000,-0.0386,0.0322,1.0138,1.015
0.197000,-0.0425,0.0283,1.0168,1.018
0.199000,-0.0435,0.0263,1.0187,1.020
0.201000,-0.0464,0.0263,1.0197,1.021
0.203000,-0.0493,0.0234,1.0207,1.022
0.206000,-0.0493,0.0283,1.0226,1.024
0.211000,-0.0503,0.0273,1.0178,1.019
0.212000,-0.0513,0.0273,1.0148,1.016
0.214000,-0.0542,0.0293,1.0158,1.018
0.216000,-0.0581,0.0302,1.0129,1.015
0.219000,-0.0591,0.0312,1.0158,1.018
0.222000,-0.0591,0.0312,1.0138,1.016
0.225000,-0.0591,0.0322,1.0168,1.019
0.228000,-0.0542,0.0322,1.0148,1.017
0.229000,-0.0552,0.0302,1.0148,1.017
0.231000,-0.0522,0.0322,1.0178,1.020
0.233000,-0.0503,0.0332,1.0158,1.018
0.236000,-0.0522,0.0342,1.0119,1.014
0.239000,-0.0542,0.0332,1.0129,1.015
0.245000,-0.0493,0.0351,1.0119,1.014
0.246000,-0.0522,0.0332,1.0070,1.009
0.246000,-0.0493,0.0361,1.0080,1.010
0.249000,-0.0493,0.0332,1.0021,1.004
0.251000,-0.0454,0.0322,1.0031,1.005
0.254000,-0.0454,0.0312,1.0041,1.006
0.256000,-0.0425,0.0332,0.9992,1.001
0.259000,-0.0405,0.0332,0.9992,1.001
0.262000,-0.0405,0.0332,0.9953,0.997
0.264000,-0.0415,0.0342,0.9972,0.999
0.266000,-0.0435,0.0302,0.9963,0.998
0.268000,-0.0464,0.0302,0.9914,0.993
0.271000,-0.0464,0.0293,0.9885,0.990
0.274000,-0.0483,0.0283,0.9904,0.992
0.279000,-0.0483,0.0293,0.9924,0.994
0.280000,-0.0581,0.0322,0.9933,0.996
0.280000,-0.0561,0.0312,0.9904,0.992
0.283000,-0.0610,0.0322,0.9904,0.993
0.286000,-0.0591,0.0322,0.9943,0.997
0.288000,-0.0610,0.0312,0.9953,0.998
0.291000,-0.0620,0.0332,0.9982,1.001
0.294000,-0.0669,0.0322,0.9943,0.997
0.296000,-0.0601,0.0332,1.0002,1.003
0.299000,-0.0591,0.0342,1.0051,1.007
0.301000,-0.0581,0.0371,1.0041,1.006
0.304000,-0.0552,0.0322,1.0070,1.009
0.306000,-0.0532,0.0322,1.0129,1.015
0.310000,-0.0503,0.0302,1.0109,1.013
0.312000,-0.0483,0.0322,1.0051,1.007
0.314000,-0.0513,0.0342,1.0090,1.011
0.316000,-0.0493,0.0332,1.0031,1.005
0.319000,-0.0493,0.0342,1.0051,1.007
0.322000,-0.0561,0.0381,1.0109,1.013
0.323000,-0.0620,0.0371,1.0129,1.015
0.328000,-0.0669,0.0361,1.0090,1.012
0.329000,-0.0728,0.0342,1.0099,1.013
0.331000,-0.0815,0.0322,1.0080,1.012
0.333000,-0.0786,0.0283,1.0109,1.014
0.336000,-0.0757,0.0273,1.0070,1.010
0.338000,-0.0688,0.0312,1.0148,1.018
0.341000,-0.0669,0.0351,1.0178,1.021
0.344000,-0.0649,0.0371,1.0178,1.020
0.346000,-0.0610,0.0371,1.0178,1.020
0.348000,-0.0571,0.0371,1.0197,1.022
0.350000,-0.0571,0.0390,1.0158,1.018
0.353000,-0.0522,0.0371,1.0060,1.008
0.356000,-0.0532,0.0342,1.0012,1.003
0.359000,-0.0542,0.0293,0.9992,1.001
0.362000,-0.0542,0.0283,0.9904,0.992
0.363000,-0.0542,0.0254,0.9894,0.991
0.365000,-0.0552,0.0263,0.9855,0.987
0.368000,-0.0552,0.0254,0.9855,0.987
0.371000,-0.0532,0.0244,0.9855,0.987
0.373000,-0.0552,0.0254,0.9836,0.985
0.377000,-0.0581,0.0254,0.9865,0.989
0.378000,-0.0581,0.0283,0.9885,0.991
0.381000,-0.0630,0.0283,0.9865,0.989
0.383000,-0.0640,0.0263,0.9875,0.990
0.386000,-0.0649,0.0273,0.9836,0.986
0.388000,-0.0659,0.0263,0.9845,0.987
0.391000,-0.0669,0.0263,0.9875,0.990
0.396000,-0.0649,0.0244,0.9933,0.996
0.396000,-0.0659,0.0273,0.9972,1.000
0.399000,-0.0610,0.0244,0.9992,1.001
0.401000,-0.0610,0.0263,1.0002,1.002
0.403000,-0.0601,0.0254,1.0090,1.011
0.405000,-0.0601,0.0273,1.0051,1.007
0.410000,-0.0610,0.0293,1.0109,1.013
0.411000,-0.0620,0.0273,1.0109,1.013
0.414000,-0.0640,0.0322,1.0119,1.014
0.416000,-0.0640,0.0293,1.0129,1.015
0.418000,-0.0620,0.0322,1.0168,1.019
0.420000,-0.0630,0.0351,1.0207,1.023
0.423000,-0.0601,0.0381,1.0178,1.020
0.426000,-0.0591,0.0420,1.0138,1.016
0.428000,-0.0561,0.0439,1.0148,1.017
0.431000,-0.0571,0.0410,1.0099,1.012
0.433000,-0.0601,0.0439,1.0148,1.018
0.435000,-0.0561,0.0400,1.0138,1.016
0.438000,-0.0591,0.0371,1.0129,1.015
0.441000,-0.0581,0.0342,1.0109,1.013
0.444000,-0.0581,0.0371,1.0070,1.009
0.446000,-0.0601,0.0332,1.0060,1.008
0.448000,-0.0581,0.0342,1.0070,1.009
0.451000,-0.0561,0.0332,1.0099,1.012
0.453000,-0.0561,0.0302,1.0129,1.015
0.456000,-0.0542,0.0351,1.0197,1.022
0.460000,-0.0581,0.0371,1.0217,1.024
0.461000,-0.0552,0.0381,1.0295,1.032
0.463000,-0.0591,0.0351,1.0265,1.029
0.465000,-0.0542,0.0312,1.0295,1.031
0.468000,-0.0601,0.0322,1.0275,1.030
0.471000,-0.0620,0.0302,1.0305,1.033
0.473000,-0.0630,0.0293,1.0305,1.033
0.476000,-0.0669,0.0312,1.0353,1.038
0.478000,-0.0698,0.0283,1.0314,1.034
0.480000,-0.0679,0.0302,1.0305,1.033
0.483000,-0.0698,0.0322,1.0265,1.029
0.485000,-0.0698,0.0293,1.0295,1.032
0.488000,-0.0698,0.0322,1.0256,1.028
0.490000,-0.0679,0.0332,1.0275,1.030
0.494000,-0.0659,0.0342,1.0246,1.027
0.495000,-0.0601,0.0371,1.0207,1.023
0.498000,-0.0552,0.0381,1.0197,1.022
0.501000,-0.0552,0.0400,1.0178,1.020
0.503000,-0.0532,0.0429,1.0187,1.021
0.505000,-0.0522,0.0420,1.0129,1.015
0.509000,-0.0532,0.0420,1.0168,1.019
0.511000,-0.0532,0.0429,1.0070,1.009
0.513000,-0.0503,0.0371,1.0070,1.009
0.515000,-0.0522,0.0351,1.0051,1.007
0.518000,-0.0542,0.0342,1.0002,1.002
0.521000,-0.0571,0.0342,0.9992,1.001
0.523000,-0.0581,0.0332,1.0002,1.002
0.528000,-0.0571,0.0322,0.9992,1.001
0.529000,-0.0601,0.0293,1.0021,1.004
0.531000,-0.0620,0.0322,1.0002,1.003
0.533000,-0.0630,0.0342,0.9992,1.002
0.536000,-0.0620,0.0322,1.0051,1.007
0.538000,-0.0659,0.0312,1.0031,1.006
0.541000,-0.0640,0.0332,1.0041,1.007
0.544000,-0.0649,0.0371,1.0031,1.006
0.545000,-0.0659,0.0381,1.0051,1.008
0.547000,-0.0620,0.0361,1.0031,1.006
0.550000,-0.0659,0.0342,1.0070,1.010
0.552000,-0.0669,0.0332,1.0041,1.007
0.555000,-0.0688,0.0351,1.0129,1.016
0.559000,-0.0688,0.0332,1.0090,1.012
0.561000,-0.0669,0.0312,1.0099,1.013
0.564000,-0.0649,0.0312,1.0138,1.016
