time,gFx,gFy,gFz,TgF
0.005000,-0.0679,0.1181,0.9943,1.004
0.005000,-0.0669,0.1240,1.0012,1.011
0.005000,-0.0659,0.1269,1.0119,1.022
0.006000,-0.0601,0.1338,1.0138,1.024
0.007000,-0.0522,0.1328,1.0226,1.033
0.007000,-0.0454,0.1387,1.0295,1.040
0.008000,-0.0435,0.1406,1.0334,1.044
0.008000,-0.0395,0.1377,1.0373,1.047
0.009000,-0.0386,0.1387,1.0412,1.051
0.009000,-0.0386,0.1347,1.0451,1.054
0.017000,-0.0395,0.1347,1.0480,1.057
0.018000,-0.0425,0.1338,1.0500,1.059
0.020000,-0.0474,0.1318,1.0539,1.063
0.020000,-0.0513,0.1357,1.0519,1.062
0.021000,-0.0542,0.1347,1.0461,1.056
0.031000,-0.0591,0.1377,1.0471,1.058
0.032000,-0.0620,0.1435,1.0402,1.052
0.033000,-0.0679,0.1445,1.0373,1.050
0.033000,-0.0669,0.1494,1.0314,1.044
0.036000,-0.0737,0.1504,1.0217,1.035
0.042000,-0.0776,0.1553,1.0158,1.031
0.042000,-0.0786,0.1562,1.0051,1.020
0.042000,-0.0825,0.1592,0.9972,1.013
0.043000,-0.0845,0.1592,0.9894,1.006
0.045000,-0.0854,0.1631,0.9797,0.997
0.046000,-0.0845,0.1670,0.9728,0.991
0.051000,-0.0854,0.1680,0.9670,0.985
0.055000,-0.0815,0.1689,0.9582,0.976
0.055000,-0.0825,0.1709,0.9494,0.968
0.059000,-0.0825,0.1689,0.9523,0.971
0.060000,-0.0796,0.1738,0.9455,0.965
0.067000,-0.0786,0.1719,0.9445,0.963
0.068000,-0.0806,0.1709,0.9445,0.963
0.068000,-0.0776,0.1709,0.9523,0.971
0.070000,-0.0786,0.1728,0.9601,0.979
0.072000,-0.0737,0.1738,0.9679,0.986
0.075000,-0.0757,0.1787,0.9719,0.991
0.077000,-0.0708,0.1855,0.9767,0.997
0.081000,-0.0669,0.1846,0.9777,0.997
0.085000,-0.0669,0.1855,0.9806,1.000
0.086000,-0.0669,0.1924,0.9748,0.996
0.092000,-0.0679,0.1914,0.9777,0.999
0.092000,-0.0688,0.1904,0.9699,0.991
0.093000,-0.0679,0.1875,0.9699,0.990
0.094000,-0.0659,0.1855,0.9699,0.990
0.111000,-0.0669,0.1836,0.9660,0.986
0.111000,-0.0718,0.1855,0.9719,0.992
0.112000,-0.0688,0.1797,0.9640,0.983
0.113000,-0.0679,0.1787,0.9709,0.990
0.113000,-0.0688,0.1797,0.9699,0.989
0.113000,-0.0698,0.1777,0.9748,0.993
0.114000,-0.0688,0.1767,0.9748,0.993
0.115000,-0.0649,0.1748,0.9738,0.991
0.117000,-0.0601,0.1767,0.9777,0.995
0.129000,-0.0581,0.1738,0.9787,0.996
0.130000,-0.0552,0.1748,0.9816,0.999
0.130000,-0.0513,0.1738,0.9797,0.996
0.131000,-0.0454,0.1738,0.9797,0.996
0.131000,-0.0474,0.1748,0.9806,0.997
0.132000,-0.0474,0.1738,0.9767,0.993
0.145000,-0.0522,0.1680,0.9787,0.994
0.146000,-0.0474,0.1660,0.9777,0.993
