time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004000,0.1168,0.0264,0.1626,0.202
0.007000,0.1172,0.0162,0.1750,0.211
0.009000,0.1679,0.0036,0.1588,0.231
0.015000,0.1646,-0.0469,0.1238,0.211
0.020000,0.1837,-0.0919,0.0987,0.228
0.026000,0.1919,-0.0931,0.0501,0.219
0.032000,0.1888,-0.1031,-0.0359,0.218
0.035000,0.1481,-0.0480,-0.0903,0.180
0.040000,0.0894,-0.0352,-0.1584,0.185
0.047000,-0.0183,-0.0500,-0.1759,0.184
0.050000,-0.1080,-0.0472,-0.1671,0.204
0.055000,-0.1466,-0.0555,-0.1392,0.210
0.060000,-0.1533,-0.0391,-0.1234,0.201
0.068000,-0.1144,-0.0152,-0.1099,0.159
0.070000,-0.0905,0.0042,-0.1275,0.156
0.076000,-0.0433,0.0094,-0.1235,0.131
0.080000,-0.0162,0.0004,-0.1338,0.135
0.086000,-0.0047,-0.0134,-0.1370,0.138
0.090000,0.0056,-0.0794,-0.1259,0.149
0.096000,0.0175,-0.1310,-0.1150,0.175
0.100000,-0.0028,-0.1588,-0.1044,0.190
0.107000,-0.0242,-0.1703,-0.1176,0.208
0.110000,-0.0535,-0.1583,-0.0952,0.192
0.116000,-0.0430,-0.1515,-0.0755,0.175
0.121000,-0.0353,-0.1450,-0.0393,0.154
0.126000,-0.0018,-0.0983,-0.0130,0.099
0.140000,0.0006,-0.0521,0.0108,0.053
0.140000,-0.0157,0.0154,0.0273,0.035
0.141000,-0.0147,0.0801,0.0650,0.104
0.147000,0.0109,0.1040,0.0859,0.135
0.151000,0.0159,0.1253,0.1137,0.170
0.156000,0.0078,0.1204,0.1438,0.188
0.161000,0.0081,0.1252,0.1523,0.197
0.166000,0.0064,0.1200,0.1133,0.165
0.171000,0.0073,0.0817,0.0485,0.095
0.176000,-0.0135,0.0602,0.0364,0.072
0.181000,-0.0462,0.0245,0.0268,0.059
0.186000,-0.0930,0.0105,0.0197,0.096
0.191000,-0.1016,-0.0010,0.0173,0.103
0.198000,-0.0891,-0.0030,0.0125,0.090
0.201000,-0.0653,-0.0263,-0.0041,0.071
0.206000,-0.0325,-0.0091,0.0127,0.036
0.211000,-0.0169,-0.0252,0.0341,0.046
0.216000,0.0242,0.0019,0.0505,0.056
0.221000,0.0601,0.0334,0.0644,0.094
0.227000,0.1265,0.0743,0.0806,0.167
0.240000,0.1735,0.0839,0.1228,0.228
0.241000,0.2347,0.1053,0.1361,0.291
0.242000,0.2456,0.1075,0.1446,0.305
0.247000,0.2354,0.0905,0.1221,0.280
0.252000,0.2087,0.0902,0.0761,0.240
0.257000,0.1681,0.0731,0.0352,0.187
0.262000,0.1234,0.0512,0.0089,0.134
0.267000,0.0746,0.0527,-0.0243,0.095
0.272000,0.0429,0.0256,-0.0478,0.069
0.277000,0.0301,0.0291,-0.0854,0.095
0.290000,0.0245,0.0182,-0.0989,0.104
0.291000,0.0497,0.0026,-0.1076,0.119
0.292000,0.0631,0.0084,-0.1186,0.135
0.298000,0.1127,-0.0144,-0.0843,0.141
0.303000,0.1243,-0.0155,-0.0788,0.148
0.308000,0.1720,0.0026,-0.0875,0.193
0.314000,0.2051,0.0065,-0.0724,0.218
0.318000,0.2094,0.0178,-0.0859,0.227
0.323000,0.1708,0.0313,-0.0827,0.192
0.327000,0.1304,0.0425,-0.0652,0.152
0.335000,0.1019,0.0396,-0.0739,0.132
0.338000,0.0899,0.0345,-0.1016,0.140
0.343000,0.0561,0.0178,-0.1196,0.133
0.348000,0.0574,0.0131,-0.1446,0.156
0.353000,0.0558,0.0111,-0.1575,0.167
0.358000,0.0366,0.0114,-0.1728,0.177
0.363000,0.0142,-0.0051,-0.1595,0.160
0.368000,-0.0278,-0.0120,-0.1416,0.145
0.373000,-0.0914,-0.0284,-0.1073,0.144
0.378000,-0.1120,-0.0521,-0.0733,0.144
0.383000,-0.1395,-0.0710,-0.0373,0.161
0.389000,-0.1859,-0.1017,-0.0229,0.213
0.393000,-0.2036,-0.1395,-0.0111,0.247
0.398000,-0.2162,-0.1718,-0.0277,0.278
0.404000,-0.2071,-0.1800,-0.0704,0.283
0.408000,-0.2072,-0.1735,-0.0723,0.280
0.417000,-0.1952,-0.1596,-0.0717,0.262
0.420000,-0.2519,-0.1477,-0.1091,0.312
0.424000,-0.2989,-0.1261,-0.1247,0.348
0.430000,-0.3551,-0.1159,-0.1308,0.396
0.434000,-0.3422,-0.0890,-0.1343,0.378
0.439000,-0.3224,-0.1024,-0.1117,0.356
0.444000,-0.3359,-0.0820,-0.0584,0.351
0.449000,-0.3134,-0.0831,-0.0364,0.326
0.454000,-0.2816,-0.1007,-0.0098,0.299
0.460000,-0.2691,-0.0944,-0.0286,0.287
0.465000,-0.2332,-0.0669,-0.0353,0.245
0.469000,-0.2310,-0.0374,-0.0349,0.237
0.474000,-0.2407,-0.0154,-0.0131,0.242
0.484000,-0.2335,-0.0060,0.0489,0.239
0.486000,-0.2141,0.0339,0.0675,0.227
0.490000,-0.1613,0.0517,0.0931,0.193
0.496000,-0.1652,0.0832,0.1162,0.218
0.502000,-0.1592,0.1023,0.1343,0.232
0.505000,-0.1620,0.1351,0.1119,0.239
0.509000,-0.1574,0.1366,0.0778,0.222
0.517000,-0.1553,0.1523,0.0226,0.219
0.520000,-0.1367,0.1157,-0.0013,0.179
0.526000,-0.0825,0.0959,-0.0131,0.127
0.535000,-0.0239,0.0670,0.0061,0.071
0.536000,0.0082,0.0575,0.0275,0.064
0.540000,0.0519,0.0505,0.0345,0.080
0.549000,0.0619,0.0818,0.0439,0.112
0.550000,0.0863,0.1058,0.0579,0.148
0.555000,0.0988,0.1415,0.0813,0.191
0.560000,0.1258,0.1792,0.1117,0.246
0.565000,0.1576,0.1950,0.1133,0.275
0.570000,0.1657,0.2010,0.1078,0.282
0.575000,0.1905,0.2091,0.1166,0.306
0.581000,0.1702,0.2048,0.1229,0.293
0.586000,0.1670,0.1860,0.0959,0.268
0.590000,0.1544,0.1433,0.0810,0.226
0.595000,0.1063,0.1220,0.0590,0.172
0.602000,0.0634,0.1053,0.0277,0.126
0.606000,0.0350,0.0599,-0.0271,0.074
0.610000,0.0185,0.0360,-0.0957,0.104
0.618000,-0.0598,-0.0020,-0.1211,0.135
0.621000,-0.0901,-0.0371,-0.1510,0.180
0.626000,-0.0849,-0.0622,-0.1711,0.201
0.632000,-0.0777,-0.0866,-0.1934,0.226
0.636000,-0.0474,-0.0556,-0.1918,0.205
0.641000,-0.0103,-0.0121,-0.2209,0.222
0.649000,0.0378,0.0220,-0.2190,0.223
0.652000,0.0946,0.0685,-0.1980,0.230
0.656000,0.1457,0.1055,-0.1844,0.258
0.661000,0.1604,0.1401,-0.1352,0.252
0.666000,0.1391,0.1225,-0.0698,0.198
0.672000,0.1272,0.1142,0.0093,0.171
0.676000,0.1130,0.0868,0.0592,0.154
0.684000,0.1157,0.0566,0.1323,0.185
0.687000,0.0881,0.0164,0.1835,0.204
0.691000,0.0417,-0.0124,0.2151,0.219
0.699000,0.0076,-0.0346,0.1942,0.197
0.703000,-0.0453,-0.0313,0.1995,0.207
0.707000,-0.0476,-0.0145,0.2143,0.220
0.711000,-0.0516,0.0063,0.2217,0.228
0.717000,-0.0286,0.0218,0.2101,0.213
0.722000,0.0137,0.0201,0.1749,0.177
