time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,-0.0517,-0.0393,0.2347,0.244
0.002000,-0.0667,-0.0560,0.2039,0.222
0.007000,-0.0764,-0.0754,0.1899,0.218
0.013000,-0.0881,-0.0637,0.1427,0.179
0.017000,-0.0898,-0.0901,0.1269,0.180
0.022000,-0.0725,-0.0778,0.0613,0.123
0.029000,-0.0625,-0.0533,-0.0178,0.084
0.033000,-0.0314,-0.0545,-0.0701,0.094
0.037000,-0.0077,-0.0335,-0.1076,0.113
0.044000,-0.0105,-0.0381,-0.1755,0.180
0.047000,-0.0253,-0.0323,-0.1905,0.195
0.052000,-0.0401,-0.0424,-0.1578,0.168
0.057000,-0.0310,-0.0517,-0.1466,0.159
0.062000,-0.0127,-0.0533,-0.1473,0.157
0.067000,0.0052,-0.0378,-0.1408,0.146
0.073000,0.0584,-0.0102,-0.1248,0.138
0.078000,0.0704,-0.0088,-0.0662,0.097
0.083000,0.0489,0.0071,-0.0318,0.059
0.087000,0.0535,-0.0033,0.0190,0.057
0.093000,0.0556,0.0029,0.0621,0.083
0.098000,0.0388,0.0159,0.0883,0.098
0.103000,0.0551,0.0025,0.1380,0.149
0.108000,0.0692,-0.0135,0.1634,0.178
0.113000,0.0834,0.0012,0.1957,0.213
0.119000,0.0907,0.0131,0.2087,0.228
0.124000,0.0954,0.0482,0.2026,0.229
0.128000,0.0478,0.0472,0.1585,0.172
0.133000,0.0222,0.0223,0.1313,0.135
0.139000,-0.0199,0.0018,0.1233,0.125
0.144000,-0.0377,0.0168,0.0844,0.094
0.148000,-0.0767,0.0054,0.0387,0.086
0.153000,-0.1157,-0.0251,-0.0256,0.121
0.160000,-0.1380,-0.0554,-0.0609,0.161
0.164000,-0.1694,-0.0662,-0.0461,0.188
0.170000,-0.1783,-0.0888,-0.0384,0.203
0.173000,-0.1722,-0.1037,-0.0427,0.206
0.179000,-0.1564,-0.0799,-0.0776,0.192
0.184000,-0.1478,-0.0748,-0.1074,0.197
0.189000,-0.1510,-0.0735,-0.1273,0.211
0.194000,-0.1377,-0.0670,-0.1375,0.206
0.199000,-0.1243,-0.0622,-0.1379,0.196
0.204000,-0.1086,-0.0474,-0.1288,0.175
0.210000,-0.0716,-0.0157,-0.1244,0.144
0.214000,-0.0400,-0.0101,-0.1129,0.120
0.219000,-0.0370,0.0030,-0.1181,0.124
0.224000,-0.0247,0.0068,-0.0922,0.096
0.229000,0.0422,0.0157,-0.1093,0.118
0.234000,0.0773,0.0248,-0.1381,0.160
0.239000,0.0811,0.0127,-0.1333,0.157
0.244000,0.1036,0.0058,-0.1214,0.160
0.250000,0.0973,0.0015,-0.1356,0.167
0.254000,0.0647,-0.0029,-0.1095,0.127
0.260000,0.0224,-0.0144,-0.1191,0.122
0.264000,-0.0560,-0.0165,-0.1169,0.131
0.269000,-0.1176,-0.0162,-0.0719,0.139
0.275000,-0.1410,-0.0043,-0.0132,0.142
0.280000,-0.1334,0.0236,0.0783,0.156
0.284000,-0.1138,0.0128,0.1546,0.192
0.290000,-0.0701,0.0183,0.2160,0.228
0.295000,0.0094,0.0374,0.2650,0.268
0.300000,0.0747,0.0509,0.3039,0.317
0.305000,0.1378,0.0565,0.3021,0.337
0.310000,0.1748,0.0470,0.2883,0.340
0.315000,0.1405,0.0439,0.2626,0.301
0.320000,0.1278,0.0116,0.2156,0.251
0.325000,0.0886,-0.0093,0.1618,0.185
0.330000,0.0446,-0.0329,0.1225,0.134
0.335000,0.0030,-0.0523,0.0811,0.097
0.340000,-0.0032,-0.0507,0.0707,0.087
0.345000,-0.0455,-0.0638,0.0485,0.092
0.351000,-0.0405,-0.0461,0.0264,0.067
0.355000,-0.0242,-0.0382,0.0092,0.046
0.360000,-0.0200,-0.0447,0.0063,0.049
0.366000,0.0365,-0.0176,-0.0036,0.041
0.370000,0.1067,0.0071,-0.0276,0.110
0.375000,0.1575,0.0225,-0.0394,0.164
0.381000,0.1560,0.0144,-0.0487,0.164
0.385000,0.1810,0.0256,-0.0270,0.185
0.390000,0.1754,0.0347,-0.0316,0.182
0.396000,0.1320,0.0056,-0.0195,0.134
0.401000,0.0605,0.0174,-0.0288,0.069
0.405000,0.0064,0.0102,-0.0214,0.025
0.411000,0.0096,0.0197,-0.0212,0.030
0.416000,0.0128,0.0055,0.0005,0.014
0.421000,0.0277,0.0129,0.0100,0.032
0.426000,0.0353,0.0249,0.0148,0.046
0.431000,0.0094,0.0300,0.0290,0.043
0.436000,0.0120,0.0230,0.0383,0.046
0.442000,0.0073,0.0164,0.0357,0.040
0.446000,0.0193,0.0289,0.0285,0.045
0.452000,0.0100,0.0201,0.0427,0.048
0.456000,0.0008,0.0185,0.0567,0.060
0.462000,-0.0181,0.0216,0.0089,0.030
0.466000,-0.0369,0.0247,0.0161,0.047
0.472000,-0.0414,0.0017,-0.0100,0.043
0.477000,-0.0247,-0.0212,-0.0097,0.034
0.482000,-0.0394,-0.0225,-0.0356,0.058
0.486000,-0.0594,-0.0476,-0.0566,0.095
0.492000,-0.0680,-0.0368,-0.0632,0.100
0.496000,-0.0625,-0.0262,-0.0317,0.075
0.502000,-0.0809,-0.0016,-0.0029,0.081
0.507000,-0.1109,0.0060,0.0446,0.120
0.513000,-0.1146,0.0208,0.0775,0.140
0.517000,-0.1156,0.0305,0.0911,0.150
