time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004000,-0.0116,-0.0022,-0.0313,0.033
0.004000,-0.0095,-0.0281,0.1613,0.164
0.014000,0.0027,-0.0307,0.2027,0.205
0.014000,0.0100,-0.0335,0.1321,0.137
0.019000,0.0054,0.0020,0.0266,0.027
0.026000,-0.0064,-0.0076,-0.0378,0.039
0.029000,0.0032,-0.0192,-0.0612,0.064
0.034000,-0.0090,0.0025,-0.0702,0.071
0.039000,-0.0114,-0.0115,-0.0245,0.029
0.045000,-0.0114,-0.0113,0.0185,0.024
0.049000,-0.0092,-0.0065,0.0515,0.053
0.054000,-0.0430,-0.0070,0.0155,0.046
0.060000,-0.0305,-0.0051,0.0415,0.052
0.065000,-0.0131,-0.0027,0.0839,0.085
0.069000,-0.0106,-0.0073,-0.0498,0.051
0.075000,-0.0293,0.0050,-0.0612,0.068
0.080000,-0.0513,-0.0044,-0.0560,0.076
0.085000,-0.0326,0.0189,-0.0389,0.054
0.089000,-0.0245,0.0021,0.1466,0.149
0.095000,0.0025,0.0116,0.1264,0.127
0.100000,-0.0285,-0.0121,-0.0622,0.069
0.106000,-0.0213,-0.0144,-0.0688,0.073
0.115000,0.0004,-0.0236,0.0030,0.024
0.116000,-0.0019,-0.0090,0.0291,0.031
0.120000,0.0005,-0.0279,0.0312,0.042
0.125000,-0.0089,-0.0182,0.0167,0.026
0.133000,0.0055,-0.0133,0.0094,0.017
0.135000,-0.0039,-0.0204,0.0094,0.023
0.140000,0.0105,-0.0155,-0.0263,0.032
0.149000,0.0009,-0.0199,-0.0237,0.031
0.150000,-0.0205,-0.0175,-0.0140,0.030
0.155000,-0.0037,-0.0079,0.0122,0.015
0.160000,-0.0059,-0.0032,0.0358,0.036
0.166000,-0.0176,-0.0031,0.0379,0.042
0.170000,-0.0149,0.0111,0.0495,0.053
0.175000,0.0044,0.0133,0.0395,0.042
0.181000,-0.0120,0.0250,0.0131,0.031
0.186000,-0.0162,0.0272,0.0272,0.042
0.191000,-0.0228,0.0151,0.0128,0.030
0.198000,-0.0294,0.0198,0.0055,0.036
0.200000,-0.0217,0.0126,-0.0254,0.036
0.206000,-0.0332,0.0149,-0.0465,0.059
0.217000,-0.0328,0.0124,-0.0177,0.039
0.217000,-0.0490,-0.0020,-0.0270,0.056
0.221000,-0.0390,-0.0161,-0.0458,0.062
0.226000,-0.0314,-0.0064,-0.0739,0.081
0.231000,-0.0266,-0.0087,-0.0923,0.096
0.237000,-0.0265,-0.0205,-0.0773,0.084
0.242000,-0.0051,-0.0251,-0.0647,0.070
0.247000,-0.0148,-0.0131,-0.0523,0.056
0.251000,-0.0079,-0.0201,-0.0448,0.050
0.257000,-0.0177,-0.0295,-0.0325,0.047
0.262000,0.0107,-0.0148,-0.0156,0.024
0.267000,0.0031,0.0042,0.0011,0.005
0.272000,-0.0021,-0.0125,0.0059,0.014
0.276000,0.0047,-0.0053,0.0367,0.037
0.283000,0.0094,0.0138,0.0530,0.056
0.287000,0.0140,-0.0005,0.0502,0.052
0.292000,-0.0027,0.0065,0.0355,0.036
0.297000,-0.0148,0.0039,0.0328,0.036
0.303000,-0.0217,0.0109,0.0444,0.051
0.307000,-0.0167,-0.0058,0.0536,0.056
0.312000,-0.0119,0.0014,0.0341,0.036
0.317000,-0.0285,-0.0034,-0.0089,0.030
0.322000,-0.0165,-0.0035,-0.0159,0.023
0.328000,-0.0258,-0.0105,-0.0016,0.028
0.332000,-0.0305,0.0086,-0.0182,0.037
0.337000,-0.0374,-0.0106,-0.0299,0.049
0.343000,-0.0422,-0.0059,-0.0368,0.056
0.347000,-0.0278,-0.0178,-0.0341,0.047
0.352000,-0.0160,-0.0105,-0.0267,0.033
0.358000,-0.0328,-0.0176,-0.0288,0.047
0.364000,-0.0210,-0.0056,-0.0238,0.032
0.367000,-0.0212,-0.0366,-0.0023,0.042
0.372000,0.0001,-0.0245,0.0073,0.026
0.378000,-0.0096,-0.0053,0.0214,0.024
0.383000,-0.0168,0.0043,0.0284,0.033
0.387000,0.0022,-0.0100,0.0258,0.028
0.394000,0.0140,-0.0124,0.0327,0.038
0.398000,-0.0076,-0.0006,0.0372,0.038
0.403000,-0.0099,0.0136,0.0345,0.038
0.416000,-0.0122,-0.0032,0.0223,0.026
0.416000,-0.0171,0.0063,0.0055,0.019
0.418000,-0.0241,-0.0127,-0.0088,0.029
0.424000,-0.0358,0.0015,-0.0111,0.038
0.428000,-0.0308,0.0038,-0.0062,0.032
0.433000,-0.0260,-0.0058,-0.0299,0.040
0.439000,-0.0188,0.0012,-0.0321,0.037
0.443000,-0.0258,0.0084,-0.0342,0.044
0.448000,-0.0305,-0.0058,-0.0267,0.041
0.454000,-0.0423,-0.0010,-0.0099,0.043
0.458000,-0.0184,0.0039,-0.0122,0.022
