time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.013000,-0.0060,0.0076,0.0259,0.028
0.014000,0.0009,0.0120,0.0518,0.053
0.014000,0.0030,0.0140,0.0039,0.015
0.017000,0.0026,0.0090,-0.0032,0.010
0.021000,-0.0120,0.0136,-0.0174,0.025
0.026000,-0.0143,0.0134,0.0088,0.022
0.035000,-0.0073,0.0061,-0.0150,0.018
0.036000,0.0020,0.0011,-0.0030,0.004
0.041000,-0.0031,0.0128,-0.0006,0.013
0.052000,-0.0009,0.0079,-0.0172,0.019
0.052000,0.0011,0.0032,0.0043,0.005
0.055000,-0.0132,0.0079,0.0209,0.026
0.068000,-0.0133,0.0173,-0.0101,0.024
0.068000,-0.0180,0.0218,-0.0148,0.032
0.071000,-0.0014,0.0216,-0.0170,0.028
0.075000,-0.0156,0.0168,-0.0264,0.035
0.112000,-0.0062,0.0119,-0.0262,0.029
0.113000,-0.0087,0.0191,-0.0070,0.022
0.113000,-0.0135,0.0213,-0.0164,0.030
0.113000,0.0030,0.0211,-0.0115,0.024
0.113000,-0.0043,0.0114,-0.0067,0.014
0.114000,0.0027,0.0042,-0.0209,0.021
0.114000,-0.0140,0.0232,-0.0207,0.034
0.116000,-0.0091,0.0232,-0.0181,0.031
0.121000,-0.0211,0.0112,-0.0085,0.025
0.127000,-0.0234,-0.0007,-0.0084,0.025
0.136000,-0.0043,0.0160,0.0154,0.023
0.137000,0.0004,0.0137,0.0129,0.019
0.141000,-0.0141,0.0232,0.0057,0.028
0.149000,0.0026,0.0135,0.0056,0.015
0.152000,-0.0022,0.0135,0.0103,0.017
0.157000,0.0024,0.0160,-0.0016,0.016
0.167000,-0.0024,0.0326,-0.0277,0.043
0.168000,-0.0000,0.0134,-0.0061,0.015
0.173000,-0.0025,0.0299,0.0082,0.031
0.211000,-0.0026,0.0179,0.0176,0.025
0.211000,-0.0050,0.0083,0.0151,0.018
0.211000,-0.0169,0.0108,-0.0088,0.022
0.211000,-0.0239,0.0036,-0.0135,0.028
0.211000,-0.0166,0.0013,-0.0062,0.018
0.212000,0.0097,0.0109,-0.0038,0.015
0.212000,-0.0120,0.0228,-0.0133,0.029
0.213000,-0.0167,0.0204,0.0034,0.027
0.217000,-0.0025,-0.0011,-0.0156,0.016
0.223000,-0.0263,0.0275,-0.0012,0.038
0.227000,-0.0001,0.0059,-0.0059,0.008
0.235000,-0.0215,0.0346,-0.0035,0.041
0.239000,-0.0215,0.0155,0.0036,0.027
0.243000,-0.0000,0.0203,0.0012,0.020
0.250000,-0.0239,0.0179,0.0107,0.032
0.252000,-0.0118,0.0226,0.0059,0.026
0.257000,-0.0095,0.0202,-0.0037,0.023
0.268000,-0.0048,0.0060,0.0106,0.013
0.268000,-0.0071,0.0227,0.0224,0.033
0.272000,-0.0120,0.0320,0.0056,0.035
0.310000,-0.0024,0.0080,-0.0087,0.012
0.310000,-0.0120,0.0153,-0.0015,0.019
0.310000,-0.0143,0.0177,-0.0015,0.023
0.310000,0.0000,0.0057,-0.0039,0.007
0.310000,-0.0142,0.0011,-0.0086,0.017
0.310000,0.0002,0.0130,-0.0109,0.017
0.311000,0.0025,0.0201,0.0082,0.022
0.313000,0.0072,0.0177,-0.0109,0.022
0.319000,-0.0119,0.0176,-0.0037,0.022
0.324000,0.0070,0.0200,-0.0084,0.023
0.337000,0.0117,0.0247,-0.0059,0.028
0.337000,-0.0145,0.0152,-0.0035,0.021
0.339000,-0.0121,0.0009,0.0108,0.016
