time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.016000,0.0188,0.0050,0.0055,0.020
0.016000,0.0139,0.0121,0.0173,0.025
0.016000,0.0161,0.0074,0.0029,0.018
0.016000,0.0183,0.0049,0.0076,0.020
0.016000,0.0277,-0.0045,0.0100,0.030
0.021000,0.0252,-0.0068,-0.0020,0.026
0.024000,0.0154,0.0146,0.0075,0.023
0.029000,0.0153,-0.0045,-0.0163,0.023
0.034000,0.0103,-0.0021,-0.0043,0.011
0.040000,0.0079,-0.0021,0.0100,0.013
0.045000,0.0173,0.0074,0.0028,0.019
0.050000,0.0172,-0.0044,0.0075,0.019
0.054000,0.0122,0.0004,-0.0020,0.012
0.062000,0.0074,0.0124,0.0146,0.021
0.068000,0.0074,0.0123,0.0073,0.016
0.069000,0.0074,-0.0044,-0.0022,0.009
0.074000,0.0097,0.0052,-0.0046,0.012
0.081000,0.0025,0.0125,-0.0045,0.013
0.085000,0.0144,-0.0160,-0.0045,0.022
0.090000,0.0071,-0.0088,0.0145,0.018
0.095000,0.0022,-0.0016,-0.0046,0.005
0.100000,0.0163,0.0079,-0.0235,0.030
0.105000,-0.0076,0.0008,-0.0043,0.009
0.111000,-0.0005,0.0032,0.0099,0.010
0.116000,0.0091,-0.0134,0.0122,0.020
0.120000,0.0280,0.0059,0.0121,0.031
0.128000,0.0324,0.0011,0.0120,0.035
0.131000,0.0084,0.0058,0.0072,0.012
0.135000,0.0201,0.0106,-0.0261,0.035
0.142000,0.0105,0.0153,-0.0022,0.019
0.146000,0.0174,-0.0063,-0.0116,0.022
0.151000,0.0196,0.0104,-0.0021,0.022
0.156000,0.0052,-0.0063,0.0003,0.008
0.167000,0.0146,-0.0085,0.0075,0.018
0.168000,0.0026,-0.0013,0.0240,0.024
0.172000,0.0288,-0.0014,0.0072,0.030
0.178000,0.0215,0.0154,-0.0190,0.033
0.182000,0.0022,0.0057,-0.0046,0.008
0.186000,0.0070,-0.0108,0.0050,0.014
0.191000,0.0046,0.0178,-0.0188,0.026
0.204000,0.0068,-0.0038,0.0003,0.008
0.204000,0.0020,-0.0062,-0.0068,0.009
0.206000,0.0021,0.0105,0.0099,0.015
0.211000,0.0306,-0.0086,0.0050,0.032
0.216000,0.0066,-0.0036,-0.0069,0.010
0.221000,-0.0100,-0.0058,0.0003,0.012
0.226000,-0.0003,-0.0033,-0.0068,0.008
0.232000,-0.0004,0.0110,-0.0044,0.012
0.236000,0.0044,0.0038,0.0123,0.014
0.242000,0.0067,0.0108,0.0027,0.013
0.247000,0.0209,0.0107,0.0074,0.025
0.252000,0.0089,0.0059,0.0050,0.012
0.256000,0.0040,-0.0060,-0.0165,0.018
0.264000,0.0300,-0.0130,-0.0044,0.033
0.274000,0.0179,-0.0009,0.0098,0.020
0.274000,0.0249,0.0136,-0.0116,0.031
0.283000,0.0199,0.0111,-0.0020,0.023
0.283000,0.0103,0.0062,0.0075,0.014
0.287000,-0.0039,0.0134,0.0051,0.015
0.293000,0.0151,0.0228,0.0074,0.028
0.297000,0.0172,0.0011,0.0026,0.017
0.303000,-0.0066,0.0012,0.0049,0.008
0.307000,-0.0043,-0.0131,0.0001,0.014
0.312000,-0.0018,-0.0058,-0.0022,0.007
0.318000,0.0076,0.0085,-0.0117,0.016
0.322000,0.0123,-0.0058,-0.0021,0.014
0.327000,-0.0187,0.0014,0.0026,0.019
0.333000,-0.0042,0.0085,0.0050,0.011
0.340000,-0.0043,-0.0178,0.0002,0.018
0.343000,0.0171,-0.0058,0.0002,0.018
0.348000,0.0051,-0.0081,0.0026,0.010
0.354000,0.0050,-0.0033,0.0073,0.009
0.358000,0.0074,0.0062,0.0072,0.012
0.364000,-0.0022,-0.0058,0.0024,0.007
0.375000,0.0215,-0.0129,-0.0142,0.029
0.375000,0.0119,-0.0081,-0.0070,0.016
0.382000,0.0119,-0.0056,-0.0117,0.018
0.383000,0.0188,-0.0055,-0.0116,0.023
