time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.051000,-0.0076,0.0082,0.0381,0.040
0.051000,-0.0074,0.0057,-0.0145,0.017
0.051000,-0.0074,-0.0062,-0.0310,0.032
0.051000,-0.0194,-0.0015,-0.0260,0.032
0.052000,-0.0193,0.0033,-0.0186,0.027
0.052000,-0.0072,0.0011,-0.0090,0.012
0.052000,-0.0214,0.0036,-0.0184,0.028
0.052000,-0.0118,-0.0060,0.0079,0.015
0.052000,-0.0118,0.0059,0.0030,0.014
0.052000,-0.0212,0.0011,0.0030,0.021
0.052000,-0.0139,-0.0202,-0.0041,0.025
0.052000,-0.0257,-0.0057,-0.0136,0.030
0.054000,-0.0112,0.0110,0.0031,0.016
0.060000,-0.0205,-0.0080,0.0150,0.027
0.066000,0.0083,0.0135,0.0172,0.023
0.071000,-0.0132,-0.0081,0.0076,0.017
0.076000,0.0036,-0.0222,-0.0020,0.023
0.080000,-0.0226,-0.0077,0.0099,0.026
0.085000,-0.0106,-0.0077,0.0122,0.018
0.091000,-0.0247,-0.0076,-0.0021,0.026
0.096000,-0.0245,-0.0169,-0.0069,0.031
0.101000,-0.0146,-0.0048,-0.0116,0.019
0.106000,-0.0024,-0.0141,-0.0186,0.023
0.111000,-0.0044,-0.0090,0.0124,0.016
0.115000,-0.0111,-0.0227,0.0099,0.027
0.122000,-0.0228,-0.0199,-0.0210,0.037
0.126000,-0.0155,-0.0076,-0.0184,0.025
0.131000,-0.0057,0.0021,0.0102,0.012
0.136000,-0.0149,-0.0048,0.0220,0.027
0.141000,-0.0026,0.0050,-0.0209,0.022
0.146000,0.0000,-0.0091,-0.0184,0.021
0.152000,-0.0211,-0.0040,-0.0088,0.023
0.156000,-0.0065,-0.0108,0.0008,0.013
0.161000,0.0057,-0.0104,0.0245,0.027
0.167000,-0.0059,-0.0006,0.0006,0.006
0.172000,-0.0174,-0.0074,0.0030,0.019
0.176000,-0.0002,0.0001,0.0124,0.012
0.181000,0.0001,-0.0114,0.0147,0.019
0.186000,-0.0233,-0.0038,0.0027,0.024
0.192000,-0.0155,-0.0058,-0.0068,0.018
0.197000,-0.0127,0.0041,-0.0210,0.025
0.201000,-0.0122,-0.0074,-0.0137,0.020
0.206000,-0.0095,-0.0095,-0.0065,0.015
0.212000,-0.0069,-0.0045,-0.0088,0.012
0.216000,-0.0066,0.0054,-0.0159,0.018
0.222000,-0.0303,0.0006,-0.0015,0.030
0.228000,-0.0016,-0.0064,-0.0228,0.024
0.232000,-0.0183,-0.0017,-0.0013,0.018
0.236000,-0.0063,-0.0041,0.0082,0.011
0.243000,-0.0086,-0.0135,-0.0037,0.016
0.248000,-0.0111,0.0009,-0.0132,0.017
0.252000,-0.0040,0.0009,-0.0202,0.021
0.258000,-0.0088,0.0033,-0.0081,0.012
0.262000,0.0008,0.0058,0.0109,0.012
0.268000,-0.0253,-0.0061,0.0037,0.026
0.273000,-0.0062,0.0012,-0.0011,0.006
0.278000,-0.0037,-0.0058,0.0037,0.008
0.282000,-0.0059,-0.0008,0.0013,0.006
0.288000,-0.0081,0.0018,0.0179,0.020
