time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.023000,-0.0101,0.0004,0.0238,0.026
0.023000,-0.0098,0.0046,0.0521,0.053
0.023000,0.0120,-0.0054,0.0160,0.021
0.023000,0.0001,-0.0056,-0.0292,0.030
0.023000,-0.0069,0.0013,-0.0290,0.030
0.023000,-0.0042,0.0011,-0.0169,0.017
0.027000,0.0078,-0.0109,0.0023,0.014
0.057000,0.0077,0.0008,0.0046,0.009
0.058000,-0.0136,0.0029,0.0046,0.015
0.058000,0.0010,0.0002,0.0022,0.002
0.058000,-0.0084,0.0070,0.0021,0.011
0.058000,0.0086,0.0020,-0.0097,0.013
0.058000,-0.0032,-0.0052,-0.0097,0.011
0.061000,-0.0006,0.0161,-0.0048,0.017
0.067000,-0.0219,0.0040,-0.0095,0.024
0.071000,-0.0049,0.0038,0.0000,0.006
0.077000,0.0093,-0.0132,-0.0047,0.017
0.081000,-0.0119,-0.0060,0.0001,0.013
0.087000,0.0121,-0.0062,-0.0237,0.027
0.091000,0.0073,0.0034,-0.0092,0.012
0.097000,-0.0045,-0.0085,0.0027,0.010
0.101000,-0.0209,0.0057,0.0122,0.025
0.106000,-0.0041,0.0031,0.0002,0.005
0.117000,-0.0015,-0.0018,-0.0164,0.017
0.117000,-0.0110,-0.0044,-0.0234,0.026
0.121000,0.0011,0.0098,-0.0018,0.010
0.127000,0.0059,0.0049,-0.0018,0.008
0.132000,-0.0131,0.0167,0.0006,0.021
0.137000,0.0036,-0.0049,0.0195,0.020
0.141000,0.0108,0.0164,-0.0020,0.020
0.153000,-0.0176,-0.0170,-0.0091,0.026
0.154000,-0.0198,0.0116,-0.0138,0.027
0.157000,-0.0006,-0.0028,0.0030,0.004
0.162000,-0.0004,-0.0146,-0.0113,0.018
0.167000,-0.0027,-0.0050,0.0007,0.006
0.172000,-0.0192,-0.0146,0.0007,0.024
0.178000,-0.0118,0.0093,-0.0065,0.016
0.182000,-0.0021,-0.0098,0.0055,0.011
0.188000,0.0217,-0.0098,-0.0041,0.024
0.193000,0.0050,-0.0097,-0.0017,0.011
0.197000,-0.0021,-0.0145,-0.0088,0.017
0.202000,-0.0043,-0.0143,0.0174,0.023
0.207000,0.0244,-0.0166,0.0173,0.034
0.213000,-0.0066,-0.0071,0.0052,0.011
0.217000,0.0030,-0.0071,-0.0019,0.008
0.222000,-0.0018,0.0071,0.0028,0.008
0.239000,0.0150,-0.0001,-0.0209,0.026
0.239000,-0.0016,0.0022,0.0077,0.008
0.239000,0.0006,0.0069,-0.0042,0.008
0.243000,0.0150,0.0092,0.0053,0.018
0.248000,0.0008,0.0066,0.0172,0.018
0.253000,0.0031,-0.0054,-0.0044,0.008
0.258000,0.0127,0.0017,-0.0067,0.014
0.263000,0.0102,0.0064,-0.0019,0.012
0.268000,-0.0018,0.0063,0.0005,0.007
0.274000,0.0101,-0.0033,0.0076,0.013
0.279000,-0.0089,0.0110,-0.0019,0.014
0.284000,-0.0041,0.0110,0.0147,0.019
0.289000,0.0196,0.0061,0.0027,0.021
0.293000,0.0124,-0.0083,-0.0044,0.016
0.301000,0.0029,-0.0082,-0.0020,0.009
0.303000,0.0005,0.0084,-0.0210,0.023
0.309000,-0.0114,0.0083,-0.0090,0.017
0.313000,-0.0113,-0.0084,0.0077,0.016
0.318000,0.0030,0.0035,0.0077,0.009
0.323000,0.0031,-0.0155,0.0005,0.016
0.337000,0.0007,0.0012,0.0052,0.005
0.338000,0.0081,-0.0129,-0.0043,0.016
0.338000,-0.0108,-0.0034,-0.0043,0.012
0.344000,-0.0130,-0.0035,-0.0114,0.018
0.349000,-0.0009,0.0131,0.0125,0.018
0.354000,-0.0056,0.0058,0.0124,0.015
0.360000,-0.0102,0.0081,0.0123,0.018
0.364000,0.0136,0.0009,0.0098,0.017
0.369000,0.0040,-0.0041,0.0049,0.008
0.374000,-0.0102,-0.0040,-0.0117,0.016
0.379000,-0.0029,0.0244,0.0050,0.025
