time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.052000,-0.0053,-0.0130,0.0738,0.075
0.053000,0.0065,0.0058,0.0352,0.036
0.053000,-0.0030,-0.0014,0.0112,0.012
0.053000,0.0090,0.0080,-0.0079,0.014
0.053000,0.0017,0.0103,-0.0031,0.011
0.053000,-0.0102,0.0007,0.0041,0.011
0.053000,-0.0077,0.0031,0.0230,0.024
0.053000,-0.0027,0.0029,-0.0009,0.004
0.053000,-0.0096,0.0053,-0.0056,0.012
0.053000,-0.0119,0.0123,0.0015,0.017
0.053000,-0.0069,0.0170,-0.0175,0.025
0.053000,0.0004,0.0050,-0.0316,0.032
0.059000,-0.0068,0.0049,-0.0384,0.039
0.064000,0.0075,0.0072,-0.0310,0.033
0.070000,0.0050,0.0072,-0.0094,0.013
0.074000,-0.0117,0.0024,-0.0022,0.012
0.079000,-0.0093,-0.0095,0.0002,0.013
0.084000,0.0002,-0.0120,-0.0022,0.012
0.090000,-0.0116,-0.0024,-0.0021,0.012
0.094000,-0.0064,-0.0191,0.0074,0.021
0.099000,-0.0040,0.0120,0.0311,0.034
0.112000,0.0223,0.0025,-0.0072,0.024
0.112000,0.0248,0.0074,0.0332,0.042
0.115000,0.0083,0.0026,0.0424,0.043
0.119000,-0.0081,0.0050,0.0160,0.019
0.125000,-0.0006,0.0075,0.0087,0.012
0.129000,-0.0002,0.0029,0.0205,0.021
0.134000,0.0048,0.0079,0.0108,0.014
0.140000,0.0051,0.0151,-0.0178,0.024
0.144000,-0.0087,0.0128,-0.0105,0.019
0.150000,0.0086,0.0083,-0.0057,0.013
0.156000,0.0022,-0.0008,-0.0056,0.006
0.160000,0.0126,0.0022,-0.0080,0.015
0.165000,0.0532,0.0297,-0.0008,0.061
0.179000,0.0659,0.0104,0.0490,0.083
0.179000,0.0234,-0.0037,-0.0915,0.095
0.180000,0.0044,-0.0034,-0.1715,0.172
0.186000,0.0121,0.0207,-0.0561,0.061
0.190000,0.0153,0.0187,0.0346,0.042
