time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.014000,-0.0089,-0.0044,0.0064,0.012
0.015000,-0.0280,-0.0021,0.0087,0.029
0.015000,0.0054,-0.0142,0.0134,0.020
0.016000,-0.0019,-0.0118,0.0014,0.012
0.021000,-0.0019,-0.0070,-0.0010,0.007
0.027000,-0.0067,-0.0047,-0.0057,0.010
0.031000,-0.0044,0.0024,-0.0033,0.006
0.037000,-0.0091,-0.0049,0.0039,0.011
0.042000,0.0099,-0.0191,-0.0009,0.022
0.046000,-0.0117,-0.0071,-0.0080,0.016
0.052000,0.0073,-0.0214,0.0015,0.023
0.056000,-0.0024,-0.0214,0.0063,0.022
0.061000,-0.0119,0.0001,-0.0057,0.013
0.067000,-0.0142,-0.0167,-0.0032,0.022
0.072000,-0.0095,-0.0191,-0.0080,0.023
0.077000,-0.0000,-0.0238,-0.0103,0.026
0.082000,-0.0072,-0.0142,-0.0054,0.017
0.088000,-0.0144,0.0024,-0.0006,0.015
0.092000,-0.0237,-0.0095,-0.0030,0.026
0.097000,-0.0069,-0.0118,0.0089,0.016
0.102000,-0.0141,-0.0117,-0.0007,0.018
0.109000,-0.0117,-0.0117,-0.0054,0.017
0.114000,0.0074,0.0003,-0.0125,0.014
0.118000,-0.0119,-0.0187,-0.0076,0.023
0.125000,-0.0092,-0.0162,0.0114,0.022
0.128000,-0.0210,0.0004,0.0066,0.022
0.133000,-0.0209,-0.0091,0.0065,0.024
0.138000,-0.0064,0.0005,-0.0007,0.006
0.143000,-0.0017,0.0122,-0.0006,0.012
0.148000,-0.0209,-0.0094,0.0065,0.024
0.152000,-0.0113,-0.0119,-0.0149,0.022
0.158000,-0.0161,0.0071,-0.0053,0.018
0.163000,-0.0208,-0.0048,-0.0029,0.022
0.168000,-0.0089,-0.0096,0.0090,0.016
0.172000,-0.0255,-0.0240,-0.0006,0.035
0.178000,-0.0158,-0.0120,0.0137,0.024
0.183000,-0.0063,-0.0167,-0.0030,0.018
0.189000,-0.0110,-0.0048,-0.0030,0.012
0.193000,-0.0157,-0.0285,-0.0006,0.033
0.198000,-0.0131,-0.0211,0.0136,0.028
0.203000,-0.0035,-0.0020,0.0040,0.006
0.209000,-0.0083,-0.0186,-0.0055,0.021
0.213000,-0.0178,-0.0067,-0.0078,0.021
0.218000,-0.0178,-0.0116,-0.0173,0.027
0.223000,-0.0035,-0.0092,-0.0029,0.010
0.228000,-0.0083,-0.0022,-0.0052,0.010
0.233000,-0.0202,-0.0022,-0.0052,0.021
0.239000,-0.0202,-0.0094,-0.0028,0.022
0.244000,-0.0130,-0.0047,0.0068,0.015
0.248000,0.0012,-0.0001,-0.0004,0.001
0.253000,-0.0011,-0.0049,-0.0028,0.006
0.259000,-0.0082,-0.0074,0.0020,0.011
0.265000,-0.0011,-0.0002,0.0091,0.009
0.268000,0.0084,0.0234,-0.0052,0.025
0.274000,-0.0083,0.0137,0.0091,0.018
0.280000,-0.0034,-0.0078,0.0090,0.012
0.285000,-0.0035,-0.0103,0.0113,0.016
0.289000,-0.0107,-0.0222,0.0088,0.026
0.297000,-0.0011,-0.0197,0.0111,0.023
0.300000,-0.0059,-0.0076,-0.0008,0.010
0.305000,-0.0224,-0.0194,-0.0127,0.032
0.309000,0.0037,-0.0336,-0.0126,0.036
0.314000,0.0038,-0.0287,-0.0054,0.029
0.319000,-0.0033,-0.0168,-0.0077,0.019
0.326000,-0.0033,-0.0143,0.0114,0.019
0.330000,-0.0057,-0.0239,0.0089,0.026
0.334000,-0.0057,-0.0190,0.0064,0.021
0.340000,0.0038,-0.0189,-0.0150,0.024
0.345000,-0.0224,-0.0093,0.0041,0.025
0.349000,-0.0056,-0.0165,0.0089,0.020
0.355000,0.0038,-0.0213,0.0064,0.023
0.359000,0.0062,-0.0212,0.0016,0.022
0.365000,-0.0082,-0.0044,0.0016,0.009
0.370000,0.0014,-0.0070,-0.0174,0.019
0.376000,0.0062,-0.0165,0.0065,0.019
0.380000,-0.0081,0.0073,0.0088,0.014
0.385000,-0.0033,-0.0047,0.0159,0.017
0.395000,-0.0031,0.0024,0.0134,0.014
0.396000,-0.0195,0.0119,0.0014,0.023
0.400000,-0.0122,-0.0072,-0.0129,0.019
0.406000,-0.0215,-0.0072,-0.0128,0.026
0.410000,-0.0190,-0.0096,-0.0174,0.027
0.415000,-0.0070,-0.0168,-0.0173,0.025
0.420000,-0.0212,-0.0143,-0.0076,0.027
0.426000,-0.0162,-0.0309,-0.0147,0.038
0.430000,-0.0185,-0.0140,-0.0051,0.024
0.436000,-0.0089,-0.0258,0.0116,0.030
0.441000,-0.0089,-0.0210,0.0162,0.028
0.445000,-0.0016,-0.0184,0.0090,0.021
0.450000,0.0103,-0.0278,0.0113,0.032
0.456000,-0.0064,-0.0158,0.0064,0.018
0.461000,0.0033,-0.0134,-0.0007,0.014
0.466000,-0.0157,-0.0109,0.0016,0.019
0.470000,-0.0036,-0.0132,-0.0221,0.026
0.476000,0.0036,-0.0131,-0.0148,0.020
0.481000,-0.0083,-0.0036,-0.0076,0.012
0.486000,-0.0154,-0.0036,0.0020,0.016
0.493000,-0.0130,-0.0084,-0.0075,0.017
0.496000,-0.0080,-0.0036,0.0092,0.013
0.500000,0.0063,0.0010,0.0020,0.007
0.507000,-0.0150,0.0035,-0.0075,0.017
0.512000,-0.0006,-0.0037,-0.0051,0.006
0.516000,0.0064,-0.0085,-0.0146,0.018
0.522000,-0.0056,0.0034,-0.0073,0.010
0.527000,-0.0246,-0.0086,-0.0096,0.028
0.531000,-0.0198,-0.0110,-0.0072,0.024
0.537000,-0.0055,-0.0205,-0.0237,0.032
0.542000,0.0040,-0.0227,-0.0093,0.025
0.546000,-0.0127,-0.0155,0.0027,0.020
0.551000,-0.0079,-0.0344,0.0003,0.035
0.558000,0.0064,-0.0342,0.0169,0.039
0.561000,-0.0056,-0.0173,0.0073,0.020
0.567000,-0.0292,-0.0149,0.0119,0.035
0.572000,-0.0217,-0.0123,-0.0119,0.028
